,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.210336,0.174829,0.120628,0.180817
Normalized EBITDA,898765000.0,932028000.0,694524000.0,552846000.0
Net Income From Continuing Operation Net Minority Interest,679089000.0,744845000.0,581776000.0,427720000.0
Reconciled Depreciation,111900000.0,104596000.0,95998000.0,88011000.0
Reconciled Cost Of Revenue,1362986000.0,1325928000.0,1135615000.0,1041359000.0
EBITDA,898765000.0,932028000.0,694524000.0,552846000.0
EBIT,898765000.0,932028000.0,694524000.0,552846000.0
Net Interest Income,-38793000.0,-29374000.0,-32539000.0,-30628000.0
Interest Expense,38793000.0,29374000.0,32539000.0,30628000.0
Interest Income,1065000.0,434000.0,586000.0,427000.0
Normalized Income,679089000.0,744845000.0,581776000.0,427720000.0
Net Income From Continuing And Discontinued Operation,679089000.0,744845000.0,581776000.0,427720000.0
Total Expenses,2468559000.0,2283332000.0,2012131000.0,1854062000.0
Total Operating Income As Reported,898765000.0,932028000.0,694524000.0,552846000.0
Diluted Average Shares,84600000.0,86572000.0,86722000.0,87542000.0
Basic Average Shares,83623000.0,85200000.0,85342000.0,86115000.0
Diluted EPS,8.03,8.6,6.71,4.89
Basic EPS,8.12,8.74,6.82,4.97
Diluted NI Availto Com Stockholders,679089000.0,744845000.0,581776000.0,427720000.0
Net Income Common Stockholders,679089000.0,744845000.0,581776000.0,427720000.0
Net Income,679089000.0,744845000.0,581776000.0,427720000.0
Minority Interests,0.0,1000.0,-355000.0,-72000.0
Net Income Including Noncontrolling Interests,679089000.0,744844000.0,582131000.0,427792000.0
Net Income Continuous Operations,679089000.0,744844000.0,582131000.0,427792000.0
Tax Provision,180883000.0,157810000.0,79854000.0,94426000.0
Pretax Income,859972000.0,902654000.0,661985000.0,522218000.0
Net Non Operating Interest Income Expense,-38793000.0,-29374000.0,-32539000.0,-30628000.0
Interest Expense Non Operating,38793000.0,29374000.0,32539000.0,30628000.0
Interest Income Non Operating,1065000.0,434000.0,586000.0,427000.0
Operating Income,898765000.0,932028000.0,694524000.0,552846000.0
Operating Expense,1105573000.0,957404000.0,876516000.0,812703000.0
Research And Development,254820000.0,161009000.0,141249000.0,133193000.0
Selling General And Administration,850753000.0,796395000.0,735267000.0,679510000.0
Selling And Marketing Expense,524505000.0,486735000.0,434435000.0,418193000.0
General And Administrative Expense,326248000.0,309660000.0,300832000.0,261317000.0
Other Gand A,326248000.0,309660000.0,300832000.0,261317000.0
Gross Profit,2004338000.0,1889432000.0,1571040000.0,1365549000.0
Cost Of Revenue,1362986000.0,1325928000.0,1135615000.0,1041359000.0
Total Revenue,3367324000.0,3215360000.0,2706655000.0,2406908000.0
Operating Revenue,3367324000.0,3215360000.0,2706655000.0,2406908000.0
