,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-951930000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.138009,0.233645,0.0008
Normalized EBITDA,4887000000.0,-123000000.0,580000000.0,985000000.0
Total Unusual Items,-4533000000.0,,,
Total Unusual Items Excluding Goodwill,-4533000000.0,,,
Net Income From Continuing Operation Net Minority Interest,-4404000000.0,762000000.0,656000000.0,1002000000.0
Reconciled Depreciation,394000000.0,251000000.0,187000000.0,188000000.0
Reconciled Cost Of Revenue,1612000000.0,1372000000.0,1036000000.0,1076000000.0
EBITDA,354000000.0,-123000000.0,580000000.0,985000000.0
EBIT,354000000.0,-123000000.0,580000000.0,985000000.0
Net Interest Income,-15000000.0,-61000000.0,-8000000.0,23000000.0
Interest Expense,26000000.0,61000000.0,49000000.0,52000000.0
Interest Income,11000000.0,0.0,41000000.0,75000000.0
Normalized Income,-822930000.0,762000000.0,656000000.0,1002000000.0
Net Income From Continuing And Discontinued Operation,-4404000000.0,762000000.0,656000000.0,1002000000.0
Total Expenses,4230000000.0,4649000000.0,2659000000.0,2558000000.0
Total Operating Income As Reported,-4179000000.0,-123000000.0,580000000.0,985000000.0
Diluted Average Shares,157000000.0,151000000.0,148000000.0,149000000.0
Basic Average Shares,157000000.0,150000000.0,147000000.0,147000000.0
Diluted EPS,-28.0,5.04,4.45,6.74
Basic EPS,-28.0,5.07,4.48,6.81
Diluted NI Availto Com Stockholders,-4404000000.0,762000000.0,656000000.0,1002000000.0
Net Income Common Stockholders,-4404000000.0,762000000.0,656000000.0,1002000000.0
Otherunder Preferred Stock Dividend,,,,0.0
Net Income,-4404000000.0,762000000.0,656000000.0,1002000000.0
Minority Interests,,0.0,0.0,12000000.0
Net Income Including Noncontrolling Interests,-4404000000.0,762000000.0,656000000.0,990000000.0
Net Income Continuous Operations,-4404000000.0,762000000.0,656000000.0,990000000.0
Tax Provision,68000000.0,122000000.0,200000000.0,128000000.0
Pretax Income,-4336000000.0,884000000.0,856000000.0,1118000000.0
Other Income Expense,-4690000000.0,1007000000.0,276000000.0,133000000.0
Other Non Operating Income Expenses,-157000000.0,1007000000.0,276000000.0,133000000.0
Special Income Charges,-4533000000.0,,,
Other Special Charges,619000000.0,,,
Impairment Of Capital Assets,3914000000.0,,,
Net Non Operating Interest Income Expense,-15000000.0,-61000000.0,-8000000.0,23000000.0
Interest Expense Non Operating,26000000.0,61000000.0,49000000.0,52000000.0
Interest Income Non Operating,11000000.0,0.0,41000000.0,75000000.0
Operating Income,354000000.0,-123000000.0,580000000.0,985000000.0
Operating Expense,2618000000.0,3277000000.0,1623000000.0,1482000000.0
Research And Development,1321000000.0,1185000000.0,682000000.0,647000000.0
Selling General And Administration,1297000000.0,2092000000.0,941000000.0,835000000.0
Gross Profit,2972000000.0,3154000000.0,2203000000.0,2467000000.0
Cost Of Revenue,1612000000.0,1372000000.0,1036000000.0,1076000000.0
Total Revenue,4584000000.0,4526000000.0,3239000000.0,3543000000.0
Operating Revenue,4584000000.0,4526000000.0,3239000000.0,3543000000.0
