,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,895860000.0,8755000.0,284287981.497727,143250000.0
Tax Rate For Calcs,0.21,0.085,0.16664,0.125
Normalized EBITDA,11105000000.0,33771000000.0,36115000000.0,32108000000.0
Total Unusual Items,4266000000.0,103000000.0,1706000000.0,1146000000.0
Total Unusual Items Excluding Goodwill,4266000000.0,103000000.0,1706000000.0,1146000000.0
Net Income From Continuing Operation Net Minority Interest,8014000000.0,19868000000.0,20899000000.0,21048000000.0
Reconciled Depreciation,13035000000.0,11792000000.0,12239000000.0,10826000000.0
Reconciled Cost Of Revenue,36188000000.0,35209000000.0,34255000000.0,19199000000.0
EBITDA,15371000000.0,33874000000.0,37821000000.0,33254000000.0
EBIT,2336000000.0,22082000000.0,25582000000.0,22428000000.0
Net Interest Income,1166000000.0,-482000000.0,-504000000.0,484000000.0
Interest Expense,496000000.0,597000000.0,504000000.0,489000000.0
Interest Income,1166000000.0,144000000.0,272000000.0,483000000.0
Normalized Income,4643860000.0,19773755000.0,19477287981.497726,20045250000.0
Net Income From Continuing And Discontinued Operation,8014000000.0,19868000000.0,20899000000.0,21048000000.0
Total Expenses,60718000000.0,56942000000.0,53991000000.0,49537000000.0
Total Operating Income As Reported,2334000000.0,19456000000.0,23678000000.0,22035000000.0
Diluted Average Shares,4123000000.0,4090000000.0,4232000000.0,4473000000.0
Basic Average Shares,4108000000.0,4059000000.0,4199000000.0,4417000000.0
Diluted EPS,1.94,4.86,4.94,4.71
Basic EPS,1.95,4.89,4.98,4.77
Diluted NI Availto Com Stockholders,8014000000.0,19868000000.0,20899000000.0,21048000000.0
Net Income Common Stockholders,8014000000.0,19868000000.0,20899000000.0,21048000000.0
Net Income,8014000000.0,19868000000.0,20899000000.0,21048000000.0
Minority Interests,-3000000.0,,,
Net Income Including Noncontrolling Interests,8017000000.0,19868000000.0,20899000000.0,21048000000.0
Net Income Continuous Operations,8017000000.0,19868000000.0,20899000000.0,21048000000.0
Tax Provision,-249000000.0,1835000000.0,4179000000.0,3010000000.0
Pretax Income,7768000000.0,21703000000.0,25078000000.0,24058000000.0
Other Income Expense,4266000000.0,103000000.0,1706000000.0,1146000000.0
Other Non Operating Income Expenses,,,-147000000.0,490000000.0
Special Income Charges,-2000000.0,-2626000000.0,-198000000.0,-393000000.0
Other Special Charges,-1187000000.0,2291000000.0,,
Write Off,341000000.0,441000000.0,303000000.0,122000000.0
Restructuring And Mergern Acquisition,2000000.0,2626000000.0,198000000.0,393000000.0
Earnings From Equity Interest,,2729000000.0,1904000000.0,1539000000.0
Gain On Sale Of Security,4268000000.0,2729000000.0,1904000000.0,1539000000.0
Net Non Operating Interest Income Expense,1166000000.0,-482000000.0,-504000000.0,484000000.0
Total Other Finance Cost,-1073000000.0,482000000.0,147000000.0,-484000000.0
Interest Expense Non Operating,496000000.0,597000000.0,504000000.0,489000000.0
Interest Income Non Operating,1166000000.0,144000000.0,272000000.0,483000000.0
Operating Income,2336000000.0,22082000000.0,23876000000.0,22428000000.0
Operating Expense,24530000000.0,21733000000.0,19736000000.0,19712000000.0
Depreciation Amortization Depletion Income Statement,,,,200000000.0
Depreciation And Amortization In Income Statement,,,,200000000.0
Amortization,,,,200000000.0
Amortization Of Intangibles Income Statement,,,,200000000.0
Research And Development,17528000000.0,15190000000.0,13556000000.0,13362000000.0
Selling General And Administration,7002000000.0,6543000000.0,6180000000.0,6150000000.0
Gross Profit,26866000000.0,43815000000.0,43612000000.0,42140000000.0
Cost Of Revenue,36188000000.0,35209000000.0,34255000000.0,29825000000.0
Total Revenue,63054000000.0,79024000000.0,77867000000.0,71965000000.0
Operating Revenue,63054000000.0,79024000000.0,77867000000.0,71965000000.0
