,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.202409,0.187254,0.193271,0.17
Normalized EBITDA,4043000000.0,3369000000.0,2948000000.0,2430000000.0
Net Income From Continuing Operation Net Minority Interest,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Reconciled Depreciation,806000000.0,746000000.0,363000000.0,218000000.0
Reconciled Cost Of Revenue,2820000000.0,2076000000.0,1466000000.0,1166000000.0
EBITDA,4043000000.0,3369000000.0,2948000000.0,2430000000.0
EBIT,3237000000.0,2623000000.0,2585000000.0,2212000000.0
Net Interest Income,-152000000.0,-29000000.0,56000000.0,22000000.0
Interest Expense,248000000.0,81000000.0,29000000.0,14000000.0
Interest Income,96000000.0,52000000.0,85000000.0,36000000.0
Normalized Income,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Net Income From Continuing And Discontinued Operation,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Total Expenses,11227000000.0,10155000000.0,7133000000.0,5503000000.0
Total Operating Income As Reported,3141000000.0,2571000000.0,2500000000.0,2176000000.0
Diluted Average Shares,283000000.0,284000000.0,273000000.0,264000000.0
Basic Average Shares,281000000.0,280000000.0,270000000.0,261000000.0
Diluted EPS,8.42,7.28,7.56,6.92
Basic EPS,8.49,7.38,7.65,6.99
Diluted NI Availto Com Stockholders,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Net Income Common Stockholders,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Net Income,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Net Income Including Noncontrolling Interests,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Net Income Continuous Operations,2384000000.0,2066000000.0,2062000000.0,1826000000.0
Tax Provision,605000000.0,476000000.0,494000000.0,372000000.0
Pretax Income,2989000000.0,2542000000.0,2556000000.0,2198000000.0
Other Income Expense,,37000000.0,74000000.0,-3000000.0
Other Non Operating Income Expenses,,37000000.0,74000000.0,-3000000.0
Net Non Operating Interest Income Expense,-152000000.0,-29000000.0,56000000.0,22000000.0
Interest Expense Non Operating,248000000.0,81000000.0,29000000.0,14000000.0
Interest Income Non Operating,96000000.0,52000000.0,85000000.0,36000000.0
Operating Income,3141000000.0,2571000000.0,2500000000.0,2176000000.0
Operating Expense,8084000000.0,7749000000.0,5450000000.0,4125000000.0
Depreciation Amortization Depletion Income Statement,483000000.0,416000000.0,146000000.0,6000000.0
Depreciation And Amortization In Income Statement,483000000.0,416000000.0,146000000.0,6000000.0
Amortization,483000000.0,416000000.0,146000000.0,6000000.0
Amortization Of Intangibles Income Statement,483000000.0,416000000.0,146000000.0,6000000.0
Research And Development,2539000000.0,2347000000.0,1678000000.0,1392000000.0
Selling General And Administration,5062000000.0,4986000000.0,3626000000.0,2727000000.0
Selling And Marketing Expense,3762000000.0,3526000000.0,2644000000.0,2048000000.0
General And Administrative Expense,1300000000.0,1460000000.0,982000000.0,679000000.0
Other Gand A,1300000000.0,1460000000.0,982000000.0,679000000.0
Salaries And Wages,806000000.0,,,
Gross Profit,11225000000.0,10320000000.0,7950000000.0,6301000000.0
Cost Of Revenue,3143000000.0,2406000000.0,1683000000.0,1378000000.0
Total Revenue,14368000000.0,12726000000.0,9633000000.0,7679000000.0
Operating Revenue,14368000000.0,12726000000.0,9633000000.0,7679000000.0
