,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.163306,0.085806,0.116156,0.080149
Normalized EBITDA,1577100000.0,1821000000.0,1049800000.0,1374500000.0
Net Income From Continuing Operation Net Minority Interest,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Reconciled Depreciation,365800000.0,310200000.0,276200000.0,203000000.0
Reconciled Cost Of Revenue,2026200000.0,1751600000.0,1497200000.0,1368300000.0
EBITDA,1577100000.0,1821000000.0,1049800000.0,1374500000.0
EBIT,1577100000.0,1821000000.0,1049800000.0,1374500000.0
Net Interest Income,29700000.0,69300000.0,157200000.0,127700000.0
Interest Income,29700000.0,69300000.0,157200000.0,
Normalized Income,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Net Income From Continuing And Discontinued Operation,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Total Expenses,4645100000.0,3889100000.0,3308600000.0,3104000000.0
Total Operating Income As Reported,1577100000.0,1821000000.0,1049800000.0,1374500000.0
Diluted Average Shares,362000000.0,365800000.0,360900000.0,358500000.0
Basic Average Shares,355700000.0,356100000.0,351000000.0,346200000.0
Diluted EPS,3.65,4.66,2.94,3.846667
Basic EPS,3.72,4.79,3.02,3.983333
Diluted NI Availto Com Stockholders,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Net Income Common Stockholders,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Net Income,1322300000.0,1704600000.0,1060600000.0,1379300000.0
Minority Interests,-22100000.0,-23500000.0,-6200000.0,-2500000.0
Net Income Including Noncontrolling Interests,1344400000.0,1728100000.0,1066800000.0,1381800000.0
Net Income Continuous Operations,1344400000.0,1728100000.0,1066800000.0,1381800000.0
Tax Provision,262400000.0,162200000.0,140200000.0,120400000.0
Pretax Income,1606800000.0,1890300000.0,1207000000.0,1502200000.0
Net Non Operating Interest Income Expense,29700000.0,69300000.0,157200000.0,127700000.0
Total Other Finance Cost,-29700000.0,-69300000.0,,-127700000.0
Interest Income Non Operating,29700000.0,69300000.0,157200000.0,
Operating Income,1577100000.0,1821000000.0,1049800000.0,1374500000.0
Operating Expense,2618900000.0,2137500000.0,1811400000.0,1735700000.0
Research And Development,879000000.0,671000000.0,595100000.0,557300000.0
Selling General And Administration,1739900000.0,1466500000.0,1216300000.0,1178400000.0
Gross Profit,4196000000.0,3958500000.0,2861200000.0,3110200000.0
Cost Of Revenue,2026200000.0,1751600000.0,1497200000.0,1368300000.0
Total Revenue,6222200000.0,5710100000.0,4358400000.0,4478500000.0
Operating Revenue,6222200000.0,5710100000.0,4358400000.0,4478500000.0
