,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,415281171.125694,191748000.0,48069875.212645,511370350.637851
Tax Rate For Calcs,0.301147,0.25,0.029155,0.131637
Normalized EBITDA,14594000000.0,-2134287000.0,50295325000.0,10532833000.0
Total Unusual Items,1379000000.0,766992000.0,1648747000.0,3884709000.0
Total Unusual Items Excluding Goodwill,1379000000.0,766992000.0,1648747000.0,3884709000.0
Net Income From Continuing Operation Net Minority Interest,10388000000.0,-3559554000.0,49405223000.0,12187255000.0
Reconciled Depreciation,7236000000.0,6232000000.0,6067654000.0,5828055000.0
Reconciled Cost Of Revenue,899163000000.0,822525462000.0,636693551000.0,492467391000.0
EBITDA,15973000000.0,-1367295000.0,51944072000.0,14417542000.0
EBIT,15973000000.0,-1367295000.0,51944072000.0,14417542000.0
Net Interest Income,-2106000000.0,-1213455000.0,1628179000.0,1060562000.0
Interest Expense,2106000000.0,1213455000.0,1125181000.0,725010000.0
Interest Income,5742000000.0,4213000000.0,2753360000.0,1785572000.0
Normalized Income,9424281171.125694,-4134798000.0,47804545875.21265,8813916350.637852
Net Income From Continuing And Discontinued Operation,10388000000.0,-3559554000.0,49405223000.0,12187255000.0
Total Expenses,1027892000000.0,948218196000.0,735107813000.0,571778313000.0
Total Operating Income As Reported,19723000000.0,4140950000.0,12342820000.0,8994880000.0
Diluted Average Shares,1590443068.0,1553718500.0,3109024000.0,2967322000.0
Basic Average Shares,1562785555.0,1553718500.0,3021809000.0,2912637000.0
Diluted EPS,6.42,-2.3,15.84,4.11
Basic EPS,6.64,-2.3,16.35,4.18
Diluted NI Availto Com Stockholders,10380000000.0,-3559554000.0,49405223000.0,12184155000.0
Average Dilution Earnings,-170000000.0,-2000000.0,-157589000.0,
Net Income Common Stockholders,10380000000.0,-3559554000.0,49405223000.0,12184155000.0
Otherunder Preferred Stock Dividend,8000000.0,,,3100000.0
Net Income,10388000000.0,-3559554000.0,49405223000.0,12187255000.0
Minority Interests,697000000.0,907731000.0,67977000.0,297163000.0
Net Income Including Noncontrolling Interests,9691000000.0,-4467285000.0,49337246000.0,11890092000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,9691000000.0,-4467285000.0,49337246000.0,11890092000.0
Tax Provision,4176000000.0,1886535000.0,1481645000.0,1802440000.0
Pretax Income,13867000000.0,-2580750000.0,50818891000.0,13692532000.0
Other Income Expense,-2371000000.0,-4741253000.0,38496639000.0,7521799000.0
Other Non Operating Income Expenses,-1555000000.0,-590222000.0,32556439000.0,5375309000.0
Special Income Charges,-5527000000.0,-434000000.0,71176000.0,0.0
Gain On Sale Of Business,-3558000000.0,140000000.0,278747000.0,1199407000.0
Write Off,1969000000.0,574000000.0,207571000.0,1954031000.0
Impairment Of Capital Assets,,,0.0,0.0
Earnings From Equity Interest,-2195000000.0,-4918023000.0,4291453000.0,-1738219000.0
Gain On Sale Of Security,1379000000.0,766992000.0,1648747000.0,3884709000.0
Net Non Operating Interest Income Expense,-2106000000.0,-1213455000.0,1628179000.0,1060562000.0
Interest Expense Non Operating,2106000000.0,1213455000.0,1125181000.0,725010000.0
Interest Income Non Operating,5742000000.0,4213000000.0,2753360000.0,1785572000.0
Operating Income,18344000000.0,3373958000.0,10694073000.0,5110171000.0
Operating Expense,128729000000.0,125692734000.0,98414262000.0,79310922000.0
Other Operating Expenses,60238000000.0,-2482000000.0,-2545008000.0,-2222223000.0
Research And Development,16893000000.0,16332036000.0,16148948000.0,14618677000.0
Selling General And Administration,111836000000.0,109360698000.0,82265314000.0,64692245000.0
Selling And Marketing Expense,37772000000.0,38743040000.0,27155972000.0,22234045000.0
General And Administrative Expense,74064000000.0,70617658000.0,55109342000.0,42458200000.0
Other Gand A,74064000000.0,70617658000.0,55109342000.0,42458200000.0
Gross Profit,147073000000.0,129066692000.0,109108335000.0,84421093000.0
Cost Of Revenue,899163000000.0,822525462000.0,636693551000.0,492467391000.0
Total Revenue,1046236000000.0,951592154000.0,745801886000.0,576888484000.0
Operating Revenue,1046236000000.0,951592154000.0,745801886000.0,576888484000.0
