,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-58905000.0,93666000.0,-42212000.0,-2860000.0
Tax Rate For Calcs,0.165,0.233,0.244,0.26
Normalized EBITDA,3478000000.0,3604000000.0,3183000000.0,3057000000.0
Total Unusual Items,-357000000.0,402000000.0,-173000000.0,-11000000.0
Total Unusual Items Excluding Goodwill,-357000000.0,402000000.0,-173000000.0,-11000000.0
Net Income From Continuing Operation Net Minority Interest,1436000000.0,2146000000.0,1325000000.0,1254000000.0
Reconciled Depreciation,709000000.0,708000000.0,653000000.0,698000000.0
Reconciled Cost Of Revenue,6734000000.0,5706000000.0,5132000000.0,4778000000.0
EBITDA,3121000000.0,4006000000.0,3010000000.0,3046000000.0
EBIT,2412000000.0,3298000000.0,2357000000.0,2348000000.0
Net Interest Income,-693000000.0,-500000000.0,-604000000.0,-654000000.0
Interest Expense,693000000.0,500000000.0,604000000.0,654000000.0
Normalized Income,1734095000.0,1837666000.0,1455788000.0,1262140000.0
Net Income From Continuing And Discontinued Operation,1436000000.0,2146000000.0,1325000000.0,1254000000.0
Total Expenses,11274000000.0,9789000000.0,9071000000.0,8742000000.0
Total Operating Income As Reported,2605000000.0,2894000000.0,2480000000.0,2378000000.0
Diluted Average Shares,1428500000.0,1427900000.0,1422100000.0,1419100000.0
Basic Average Shares,1416800000.0,1415700000.0,1407200000.0,1406700000.0
Diluted EPS,1.01,1.5,0.93,0.88
Basic EPS,1.01,1.52,0.94,0.89
Diluted NI Availto Com Stockholders,1436000000.0,2146000000.0,1325000000.0,1254000000.0
Net Income Common Stockholders,1436000000.0,2146000000.0,1325000000.0,1254000000.0
Net Income,1436000000.0,2146000000.0,1325000000.0,1254000000.0
Minority Interests,1000000.0,1000000.0,0.0,0.0
Net Income Including Noncontrolling Interests,1435000000.0,2145000000.0,1325000000.0,1254000000.0
Net Income Continuous Operations,1435000000.0,2145000000.0,1325000000.0,1254000000.0
Tax Provision,284000000.0,653000000.0,428000000.0,440000000.0
Pretax Income,1719000000.0,2798000000.0,1753000000.0,1694000000.0
Other Income Expense,-371000000.0,404000000.0,-190000000.0,-30000000.0
Other Non Operating Income Expenses,-14000000.0,2000000.0,-17000000.0,-19000000.0
Special Income Charges,-357000000.0,402000000.0,-173000000.0,-11000000.0
Gain On Sale Of Business,50000000.0,524000000.0,,
Other Special Charges,-82000000.0,105000000.0,4000000.0,11000000.0
Write Off,12000000.0,17000000.0,102000000.0,
Impairment Of Capital Assets,477000000.0,0.0,67000000.0,
Earnings From Equity Interest,,524000000.0,,
Net Non Operating Interest Income Expense,-693000000.0,-500000000.0,-604000000.0,-654000000.0
Interest Expense Non Operating,693000000.0,500000000.0,604000000.0,654000000.0
Operating Income,2783000000.0,2894000000.0,2547000000.0,2378000000.0
Operating Expense,4540000000.0,4083000000.0,3939000000.0,3964000000.0
Other Operating Expenses,-105000000.0,-70000000.0,-39000000.0,2000000.0
Selling General And Administration,4645000000.0,4153000000.0,3978000000.0,3962000000.0
Gross Profit,7323000000.0,6977000000.0,6486000000.0,6342000000.0
Cost Of Revenue,6734000000.0,5706000000.0,5132000000.0,4778000000.0
Total Revenue,14057000000.0,12683000000.0,11618000000.0,11120000000.0
Operating Revenue,14057000000.0,12683000000.0,11618000000.0,11120000000.0
