,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-184077545.515846,-653600000.0,-917730000.0,-519531003.382187
Tax Rate For Calcs,0.201618,0.4,0.27,0.273581
Normalized EBITDA,5733000000.0,6299000000.0,6792000000.0,5921000000.0
Total Unusual Items,-913000000.0,-1634000000.0,-3399000000.0,-1899000000.0
Total Unusual Items Excluding Goodwill,-913000000.0,-1634000000.0,-3399000000.0,-1899000000.0
Net Income From Continuing Operation Net Minority Interest,2363000000.0,1012000000.0,356000000.0,1935000000.0
Reconciled Depreciation,933000000.0,910000000.0,969000000.0,994000000.0
Reconciled Cost Of Revenue,18363000000.0,17360000000.0,17008000000.0,16830000000.0
EBITDA,4820000000.0,4665000000.0,3393000000.0,4022000000.0
EBIT,3887000000.0,3755000000.0,2424000000.0,4022000000.0
Net Interest Income,-921000000.0,-2047000000.0,-1394000000.0,-1361000000.0
Interest Expense,921000000.0,2047000000.0,1394000000.0,1361000000.0
Interest Income,27000000.0,15000000.0,27000000.0,
Normalized Income,3091922454.484154,1992400000.0,2837270000.0,3314468996.617813
Net Income From Continuing And Discontinued Operation,2363000000.0,1012000000.0,356000000.0,1935000000.0
Total Expenses,21938000000.0,20948000000.0,20658000000.0,20008000000.0
Total Operating Income As Reported,3634000000.0,3460000000.0,2128000000.0,3070000000.0
Diluted Average Shares,1226000000.0,1236000000.0,1228000000.0,1224000000.0
Basic Average Shares,1226000000.0,1224000000.0,1223000000.0,1221000000.0
Diluted EPS,1.91,0.82,0.29,1.58
Basic EPS,1.93,0.83,0.29,1.59
Diluted NI Availto Com Stockholders,2363000000.0,1012000000.0,356000000.0,1935000000.0
Net Income Common Stockholders,2363000000.0,1012000000.0,356000000.0,1935000000.0
Net Income,2363000000.0,1012000000.0,356000000.0,1935000000.0
Minority Interests,-5000000.0,-12000000.0,-5000000.0,2000000.0
Net Income Including Noncontrolling Interests,2368000000.0,1024000000.0,361000000.0,1933000000.0
Net Income Continuous Operations,2368000000.0,1024000000.0,361000000.0,1933000000.0
Tax Provision,598000000.0,684000000.0,669000000.0,728000000.0
Pretax Income,2966000000.0,1708000000.0,1030000000.0,2661000000.0
Other Income Expense,-660000000.0,-1339000000.0,-3103000000.0,-947000000.0
Other Non Operating Income Expenses,253000000.0,295000000.0,296000000.0,952000000.0
Special Income Charges,-913000000.0,-1634000000.0,-3399000000.0,-1899000000.0
Gain On Sale Of Business,25000000.0,44000000.0,-2000000.0,
Impairment Of Capital Assets,913000000.0,1634000000.0,3399000000.0,1899000000.0
Gain On Sale Of Security,56000000.0,15000000.0,-8000000.0,
Net Non Operating Interest Income Expense,-921000000.0,-2047000000.0,-1394000000.0,-1361000000.0
Interest Expense Non Operating,921000000.0,2047000000.0,1394000000.0,1361000000.0
Interest Income Non Operating,27000000.0,15000000.0,27000000.0,
Operating Income,4547000000.0,5094000000.0,5527000000.0,4969000000.0
Operating Expense,3575000000.0,3588000000.0,3650000000.0,3178000000.0
Selling General And Administration,3575000000.0,3588000000.0,3650000000.0,3178000000.0
Selling And Marketing Expense,3575000000.0,3588000000.0,3650000000.0,3178000000.0
General And Administrative Expense,-135000000.0,-214000000.0,3650000000.0,3178000000.0
Other Gand A,,,3650000000.0,3178000000.0
Salaries And Wages,-135000000.0,-214000000.0,-201000000.0,
Gross Profit,8122000000.0,8682000000.0,9177000000.0,8147000000.0
Cost Of Revenue,18363000000.0,17360000000.0,17008000000.0,16830000000.0
Total Revenue,26485000000.0,26042000000.0,26185000000.0,24977000000.0
Operating Revenue,26485000000.0,26042000000.0,26185000000.0,24977000000.0
