,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,-1408964.172818,0.0,0.0,-21560850.696926
Tax Rate For Calcs,0.106049,0.047912,0.119935,0.077227
Normalized EBITDA,4514529000.0,3750424000.0,2851117000.0,2104221000.0
Total Unusual Items,-13286000.0,-4231000.0,0.0,-279187000.0
Total Unusual Items Excluding Goodwill,-13286000.0,-4231000.0,0.0,-279187000.0
Net Income From Continuing Operation Net Minority Interest,3387277000.0,3321807000.0,2078292000.0,1216785000.0
Reconciled Depreciation,415113000.0,100848000.0,333335000.0,348049000.0
Reconciled Cost Of Revenue,4218307000.0,3592441000.0,2772165000.0,2449561000.0
EBITDA,4501243000.0,3750424000.0,2851117000.0,1825034000.0
EBIT,4086130000.0,3649576000.0,2517782000.0,1476985000.0
Net Interest Income,-296940000.0,-160339000.0,-157328000.0,-160274000.0
Interest Expense,296940000.0,160339000.0,157328000.0,160274000.0
Interest Income,74095000.0,8695000.0,8929000.0,21646000.0
Normalized Income,3399154035.827182,3321807000.0,2078292000.0,1474411149.303074
Net Income From Continuing And Discontinued Operation,3387277000.0,3321807000.0,2078292000.0,1216785000.0
Total Expenses,6501360000.0,5557702000.0,4430254000.0,4047574000.0
Diluted Average Shares,140235000.0,151555000.0,155437000.0,158005000.0
Basic Average Shares,139483000.0,150494000.0,154086000.0,156797000.0
Diluted EPS,24.15,21.92,13.37,7.7
Basic EPS,24.28,22.07,13.49,7.76
Diluted NI Availto Com Stockholders,3387277000.0,3321807000.0,2078292000.0,1216785000.0
Net Income Common Stockholders,3387277000.0,3321807000.0,2078292000.0,1216785000.0
Net Income,3387277000.0,3321807000.0,2078292000.0,1216785000.0
Minority Interests,-74000.0,-253000.0,939000.0,1760000.0
Net Income Including Noncontrolling Interests,3387351000.0,3322060000.0,2077353000.0,1215025000.0
Net Income Continuous Operations,3387351000.0,3322060000.0,2077353000.0,1215025000.0
Tax Provision,401839000.0,167177000.0,283101000.0,101686000.0
Pretax Income,3789190000.0,3489237000.0,2360454000.0,1316711000.0
Other Income Expense,91434000.0,-4605000.0,29302000.0,-281865000.0
Other Non Operating Income Expenses,104720000.0,-4605000.0,29302000.0,-2678000.0
Special Income Charges,-13286000.0,0.0,0.0,-279187000.0
Other Special Charges,13286000.0,,,22538000.0
Impairment Of Capital Assets,,0.0,0.0,256649000.0
Gain On Sale Of Security,-1219000.0,-4231000.0,-4752000.0,-3939000.0
Net Non Operating Interest Income Expense,-296940000.0,-160339000.0,-157328000.0,-160274000.0
Interest Expense Non Operating,296940000.0,160339000.0,157328000.0,160274000.0
Interest Income Non Operating,74095000.0,8695000.0,8929000.0,21646000.0
Operating Income,3994696000.0,3654181000.0,2488480000.0,1758850000.0
Operating Expense,2283053000.0,1965261000.0,1658089000.0,1598013000.0
Research And Development,1296727000.0,1105254000.0,928487000.0,863864000.0
Selling General And Administration,986326000.0,860007000.0,729602000.0,734149000.0
Gross Profit,6277749000.0,5619442000.0,4146569000.0,3356863000.0
Cost Of Revenue,4218307000.0,3592441000.0,2772165000.0,2449561000.0
Total Revenue,10496056000.0,9211883000.0,6918734000.0,5806424000.0
Operating Revenue,10496056000.0,9211883000.0,6918734000.0,5806424000.0
