,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,-4935686.701075,0.0,0.0,0.0
Tax Rate For Calcs,0.117098,0.113194,0.105781,0.125525
Normalized EBITDA,5601592000.0,5715561000.0,4789174000.0,2942327000.0
Total Unusual Items,-42150000.0,-723000.0,-6962000.0,-3317000.0
Total Unusual Items Excluding Goodwill,-42150000.0,-723000.0,-6962000.0,-3317000.0
Net Income From Continuing Operation Net Minority Interest,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Reconciled Depreciation,342432000.0,333739000.0,307151000.0,268525000.0
Reconciled Cost Of Revenue,9651591000.0,9355232000.0,7820844000.0,5436043000.0
EBITDA,5559442000.0,5715561000.0,4789174000.0,2942327000.0
EBIT,5217010000.0,5381822000.0,4482023000.0,2673802000.0
Net Interest Income,-47478000.0,-169550000.0,-188910000.0,-92007000.0
Interest Expense,186462000.0,184759000.0,208597000.0,177440000.0
Interest Income,138984000.0,15209000.0,19687000.0,85433000.0
Normalized Income,4548145313.298925,4605286000.0,3908458000.0,2251753000.0
Net Income From Continuing And Discontinued Operation,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Total Expenses,12211506000.0,11845217000.0,10144127000.0,7370934000.0
Total Operating Income As Reported,5174860000.0,5381822000.0,4482023000.0,2673802000.0
Diluted Average Shares,135834000.0,140628000.0,145320000.0,149090000.0
Basic Average Shares,135472000.0,139899000.0,143609000.0,144814000.0
Diluted EPS,33.21,32.75,26.9,15.1
Basic EPS,33.3,32.92,27.22,15.55
Diluted NI Availto Com Stockholders,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Net Income Common Stockholders,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Net Income,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Net Income Including Noncontrolling Interests,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Net Income Continuous Operations,4510931000.0,4605286000.0,3908458000.0,2251753000.0
Tax Provision,598279000.0,587828000.0,462346000.0,323225000.0
Pretax Income,5109210000.0,5193114000.0,4370804000.0,2574978000.0
Other Income Expense,-107800000.0,-188708000.0,-111219000.0,-98824000.0
Other Non Operating Income Expenses,-65650000.0,-188708000.0,-111219000.0,-98824000.0
Special Income Charges,-42150000.0,,,0.0
Write Off,,,,0.0
Restructuring And Mergern Acquisition,42150000.0,,,
Gain On Sale Of Security,-7078000.0,-723000.0,-6962000.0,-3317000.0
Net Non Operating Interest Income Expense,-47478000.0,-169550000.0,-188910000.0,-92007000.0
Interest Expense Non Operating,186462000.0,184759000.0,208597000.0,177440000.0
Interest Income Non Operating,138984000.0,15209000.0,19687000.0,85433000.0
Operating Income,5217010000.0,5381822000.0,4482023000.0,2673802000.0
Operating Expense,2559915000.0,2489985000.0,2323283000.0,1934891000.0
Research And Development,1727162000.0,1604248000.0,1493408000.0,1252412000.0
Selling General And Administration,832753000.0,885737000.0,829875000.0,682479000.0
Gross Profit,7776925000.0,7871807000.0,6805306000.0,4608693000.0
Cost Of Revenue,9651591000.0,9355232000.0,7820844000.0,5436043000.0
Total Revenue,17428516000.0,17227039000.0,14626150000.0,10044736000.0
Operating Revenue,17428516000.0,17227039000.0,14626150000.0,10044736000.0
