,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,-142786147.0,-11134986.0,-8385602.0,0.0
Tax Rate For Calcs,0.359,0.269,0.281,0.281
Normalized EBITDA,2132626000.0,1424925000.0,884830000.0,889110000.0
Total Unusual Items,-397733000.0,-41394000.0,-29842000.0,0.0
Total Unusual Items Excluding Goodwill,-397733000.0,-41394000.0,-29842000.0,0.0
Net Income From Continuing Operation Net Minority Interest,854800000.0,975322000.0,588913000.0,645596000.0
Reconciled Depreciation,8752000.0,8782000.0,5160000.0,161933000.0
Reconciled Cost Of Revenue,3618178000.0,2648052000.0,1937888000.0,1755910000.0
EBITDA,1734893000.0,1383531000.0,854988000.0,889110000.0
EBIT,1726141000.0,1374749000.0,849828000.0,889110000.0
Normalized Income,1109746853.0,1005581014.0,610369398.0,645596000.0
Net Income From Continuing And Discontinued Operation,854800000.0,975322000.0,588913000.0,645596000.0
Total Expenses,6384377000.0,4881868000.0,3552051000.0,3090186000.0
Total Operating Income As Reported,1328408000.0,1333355000.0,819986000.0,889110000.0
Diluted Average Shares,128017000.0,130295000.0,130871000.0,130955000.0
Basic Average Shares,127666000.0,129768000.0,130289000.0,130393000.0
Diluted EPS,6.68,7.49,4.5,4.93
Basic EPS,6.7,7.52,4.52,4.95
Diluted NI Availto Com Stockholders,854800000.0,975322000.0,588913000.0,645596000.0
Net Income Common Stockholders,854800000.0,975322000.0,588913000.0,645596000.0
Net Income,854800000.0,975322000.0,588913000.0,645596000.0
Net Income Including Noncontrolling Interests,854800000.0,975322000.0,588913000.0,645596000.0
Net Income Continuous Operations,854800000.0,975322000.0,588913000.0,645596000.0
Tax Provision,477771000.0,358547000.0,230437000.0,251797000.0
Pretax Income,1332571000.0,1333869000.0,819350000.0,897393000.0
Other Income Expense,-393570000.0,-40880000.0,-30478000.0,8283000.0
Other Non Operating Income Expenses,4163000.0,514000.0,-636000.0,8283000.0
Special Income Charges,-397733000.0,-41394000.0,-29842000.0,0.0
Gain On Sale Of Ppe,10180000.0,,,
Impairment Of Capital Assets,407913000.0,,,0.0
Restructuring And Mergern Acquisition,0.0,41394000.0,29842000.0,0.0
Operating Income,1726141000.0,1374749000.0,849828000.0,889110000.0
Operating Expense,2766199000.0,2233816000.0,1614163000.0,1334276000.0
Depreciation Amortization Depletion Income Statement,8752000.0,8782000.0,5160000.0,
Depreciation And Amortization In Income Statement,8752000.0,8782000.0,5160000.0,
Amortization,8752000.0,8782000.0,5160000.0,
Amortization Of Intangibles Income Statement,8752000.0,8782000.0,5160000.0,
Selling General And Administration,2757447000.0,2225034000.0,1609003000.0,1334276000.0
Gross Profit,4492340000.0,3608565000.0,2463991000.0,2223386000.0
Cost Of Revenue,3618178000.0,2648052000.0,1937888000.0,1755910000.0
Total Revenue,8110518000.0,6256617000.0,4401879000.0,3979296000.0
Operating Revenue,8110518000.0,6256617000.0,4401879000.0,3979296000.0
