,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-2913294.797688,-11806779.661017,-72090000.0,-28135084.427767
Tax Rate For Calcs,0.242775,0.068644,0.27,0.203877
Normalized EBITDA,3722000000.0,1992000000.0,592000000.0,2472000000.0
Total Unusual Items,-12000000.0,-172000000.0,-267000000.0,-138000000.0
Total Unusual Items Excluding Goodwill,-12000000.0,-172000000.0,-267000000.0,-138000000.0
Net Income From Continuing Operation Net Minority Interest,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Reconciled Depreciation,193000000.0,220000000.0,346000000.0,341000000.0
Reconciled Cost Of Revenue,16215000000.0,11056000000.0,9112000000.0,17755000000.0
EBITDA,3710000000.0,1820000000.0,325000000.0,2334000000.0
EBIT,3517000000.0,1600000000.0,-21000000.0,1993000000.0
Net Interest Income,-377000000.0,-392000000.0,-418000000.0,-368000000.0
Interest Expense,403000000.0,420000000.0,445000000.0,394000000.0
Interest Income,26000000.0,28000000.0,27000000.0,26000000.0
Normalized Income,2367086705.202312,1259193220.338983,-72090000.0,1382864915.572233
Net Income From Continuing And Discontinued Operation,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Total Expenses,17299000000.0,12099000000.0,10220000000.0,19034000000.0
Total Operating Income As Reported,996000000.0,1750000000.0,84000000.0,1800000000.0
Diluted Average Shares,325800000.0,329300000.0,325800000.0,335500000.0
Basic Average Shares,324400000.0,327200000.0,325800000.0,332700000.0
Diluted EPS,7.24,3.34,-0.82,3.8
Basic EPS,7.27,3.36,-0.82,3.83
Diluted NI Availto Com Stockholders,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Net Income Common Stockholders,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Net Income,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Net Income Including Noncontrolling Interests,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Net Income Continuous Operations,2358000000.0,1099000000.0,-267000000.0,1273000000.0
Tax Provision,756000000.0,81000000.0,-199000000.0,326000000.0
Pretax Income,3114000000.0,1180000000.0,-466000000.0,1599000000.0
Other Income Expense,17000000.0,-186000000.0,-399000000.0,29000000.0
Other Non Operating Income Expenses,11000000.0,10000000.0,9000000.0,154000000.0
Special Income Charges,-12000000.0,-172000000.0,-267000000.0,-138000000.0
Other Special Charges,,164000000.0,,-154000000.0
Restructuring And Mergern Acquisition,12000000.0,8000000.0,267000000.0,138000000.0
Earnings From Equity Interest,18000000.0,-24000000.0,-141000000.0,13000000.0
Net Non Operating Interest Income Expense,-377000000.0,-392000000.0,-418000000.0,-368000000.0
Interest Expense Non Operating,403000000.0,420000000.0,445000000.0,394000000.0
Interest Income Non Operating,26000000.0,28000000.0,27000000.0,26000000.0
Operating Income,3474000000.0,1758000000.0,351000000.0,1938000000.0
Operating Expense,1084000000.0,1043000000.0,1108000000.0,1279000000.0
Depreciation Amortization Depletion Income Statement,193000000.0,220000000.0,346000000.0,341000000.0
Depreciation And Amortization In Income Statement,193000000.0,220000000.0,346000000.0,341000000.0
Selling General And Administration,891000000.0,823000000.0,762000000.0,938000000.0
General And Administrative Expense,891000000.0,823000000.0,762000000.0,938000000.0
Other Gand A,891000000.0,823000000.0,762000000.0,938000000.0
Gross Profit,4558000000.0,2801000000.0,1459000000.0,3217000000.0
Cost Of Revenue,16215000000.0,11056000000.0,9112000000.0,17755000000.0
Total Revenue,20773000000.0,13857000000.0,10571000000.0,20972000000.0
Operating Revenue,5356000000.0,3415000000.0,2119000000.0,5373000000.0
