,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,924000.0,-3920067.453626,-459000.0,-12609000.0
Tax Rate For Calcs,0.231,0.132884,0.27,0.27
Normalized EBITDA,3777900000.0,2771100000.0,1933800000.0,1734400000.0
Total Unusual Items,4000000.0,-29500000.0,-1700000.0,-46700000.0
Total Unusual Items Excluding Goodwill,4000000.0,-29500000.0,-1700000.0,-46700000.0
Net Income From Continuing Operation Net Minority Interest,2237700000.0,1285500000.0,349400000.0,570600000.0
Reconciled Depreciation,669900000.0,862500000.0,932300000.0,993900000.0
Reconciled Cost Of Revenue,2740800000.0,2371300000.0,2059600000.0,2032100000.0
EBITDA,3781900000.0,2741600000.0,1932100000.0,1687700000.0
EBIT,3112000000.0,1879100000.0,999800000.0,693800000.0
Net Interest Income,-201800000.0,-256500000.0,-355200000.0,-494500000.0
Interest Expense,194400000.0,245500000.0,339800000.0,497300000.0
Interest Income,2100000.0,500000.0,1700000.0,2800000.0
Normalized Income,2234624000.0,1311079932.546374,350641000.0,604691000.0
Net Income From Continuing And Discontinued Operation,2237700000.0,1285500000.0,349400000.0,570600000.0
Total Expenses,5326700000.0,4941800000.0,4438600000.0,4580400000.0
Total Operating Income As Reported,3116000000.0,1849600000.0,998100000.0,647100000.0
Diluted Average Shares,557300000.0,565900000.0,541200000.0,512400000.0
Basic Average Shares,550400000.0,552300000.0,519200000.0,477800000.0
Diluted EPS,4.02,2.27,0.645,1.115
Basic EPS,4.07,2.33,0.675,1.195
Diluted NI Availto Com Stockholders,2237700000.0,1285500000.0,349400000.0,570600000.0
Net Income Common Stockholders,2237700000.0,1285500000.0,349400000.0,570600000.0
Net Income,2237700000.0,1285500000.0,349400000.0,570600000.0
Net Income Including Noncontrolling Interests,2237700000.0,1285500000.0,349400000.0,570600000.0
Net Income Continuous Operations,2237700000.0,1285500000.0,349400000.0,570600000.0
Tax Provision,672000000.0,197000000.0,-9900000.0,-420200000.0
Pretax Income,2909700000.0,1482500000.0,339500000.0,150400000.0
Other Income Expense,-202300000.0,-396600000.0,-660300000.0,-543400000.0
Other Non Operating Income Expenses,-206300000.0,-367100000.0,-658600000.0,-496700000.0
Special Income Charges,4000000.0,-29500000.0,-1700000.0,-46700000.0
Other Special Charges,-4000000.0,29500000.0,1700000.0,21100000.0
Restructuring And Mergern Acquisition,,17000000.0,1500000.0,31000000.0
Earnings From Equity Interest,,,0.0,0.0
Net Non Operating Interest Income Expense,-201800000.0,-256500000.0,-355200000.0,-494500000.0
Total Other Finance Cost,9500000.0,11500000.0,17100000.0,
Interest Expense Non Operating,194400000.0,245500000.0,339800000.0,497300000.0
Interest Income Non Operating,2100000.0,500000.0,1700000.0,2800000.0
Operating Income,3112000000.0,1879100000.0,999800000.0,693800000.0
Operating Expense,2585900000.0,2570500000.0,2379000000.0,2548300000.0
Depreciation Amortization Depletion Income Statement,669900000.0,862500000.0,932300000.0,993900000.0
Depreciation And Amortization In Income Statement,669900000.0,862500000.0,932300000.0,993900000.0
Amortization,669900000.0,862500000.0,932300000.0,993900000.0
Amortization Of Intangibles Income Statement,669900000.0,862500000.0,932300000.0,993900000.0
Research And Development,1118300000.0,989100000.0,836400000.0,877800000.0
Selling General And Administration,797700000.0,718900000.0,610300000.0,676600000.0
Gross Profit,5697900000.0,4449600000.0,3378800000.0,3242100000.0
Cost Of Revenue,2740800000.0,2371300000.0,2059600000.0,2032100000.0
Total Revenue,8438700000.0,6820900000.0,5438400000.0,5274200000.0
Operating Revenue,8438700000.0,6820900000.0,5438400000.0,5274200000.0
