,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-70216000.0,-55488000.0,-108962000.0,-184000.0
Tax Rate For Calcs,0.268,0.272,0.362,0.001
Normalized EBITDA,5020000000.0,6174000000.0,5408000000.0,5134000000.0
Total Unusual Items,-262000000.0,-204000000.0,-301000000.0,-184000000.0
Total Unusual Items Excluding Goodwill,-262000000.0,-204000000.0,-301000000.0,-184000000.0
Net Income From Continuing Operation Net Minority Interest,2717000000.0,4300000000.0,3555000000.0,3870000000.0
Reconciled Depreciation,1107000000.0,1113000000.0,1116000000.0,1047000000.0
Reconciled Cost Of Revenue,19209000000.0,16487000000.0,15213000000.0,14658000000.0
EBITDA,4758000000.0,5970000000.0,5107000000.0,4950000000.0
EBIT,3651000000.0,4857000000.0,3991000000.0,3903000000.0
Net Interest Income,-423000000.0,-447000000.0,-608000000.0,-456000000.0
Interest Expense,423000000.0,365000000.0,608000000.0,456000000.0
Normalized Income,2908784000.0,4448512000.0,3747038000.0,4053816000.0
Net Income From Continuing And Discontinued Operation,2717000000.0,4300000000.0,3555000000.0,3870000000.0
Total Expenses,27700000000.0,23863000000.0,22427000000.0,21841000000.0
Total Operating Income As Reported,3534000000.0,-4653000000.0,3853000000.0,3843000000.0
Diluted Average Shares,1385000000.0,1413000000.0,1441000000.0,1458000000.0
Basic Average Shares,1378000000.0,1403000000.0,1431000000.0,1445000000.0
Diluted EPS,1.96,3.04,2.47,2.65
Basic EPS,1.97,3.06,2.48,2.68
Diluted NI Availto Com Stockholders,2717000000.0,4300000000.0,3555000000.0,3870000000.0
Net Income Common Stockholders,2717000000.0,4300000000.0,3555000000.0,3870000000.0
Net Income,2717000000.0,4300000000.0,3555000000.0,3870000000.0
Minority Interests,-9000000.0,-14000000.0,-14000000.0,-15000000.0
Net Income Including Noncontrolling Interests,2726000000.0,4314000000.0,3569000000.0,3885000000.0
Net Income Continuous Operations,2726000000.0,4314000000.0,3569000000.0,3885000000.0
Earnings From Equity Interest Net Of Tax,363000000.0,1135000000.0,1410000000.0,440000000.0
Tax Provision,865000000.0,1190000000.0,1224000000.0,2000000.0
Pretax Income,3228000000.0,4369000000.0,3383000000.0,3447000000.0
Other Income Expense,-145000000.0,-41000000.0,-163000000.0,-124000000.0
Other Non Operating Income Expenses,117000000.0,163000000.0,138000000.0,60000000.0
Special Income Charges,-262000000.0,-204000000.0,-301000000.0,-184000000.0
Gain On Sale Of Business,,,0.0,44000000.0
Other Special Charges,129000000.0,137000000.0,185000000.0,
Impairment Of Capital Assets,262000000.0,212000000.0,301000000.0,228000000.0
Restructuring And Mergern Acquisition,0.0,-8000000.0,,
Gain On Sale Of Security,,,-103000000.0,-111000000.0
Net Non Operating Interest Income Expense,-423000000.0,-447000000.0,-608000000.0,-456000000.0
Total Other Finance Cost,,447000000.0,,
Interest Expense Non Operating,423000000.0,365000000.0,608000000.0,456000000.0
Operating Income,3796000000.0,4857000000.0,4154000000.0,4027000000.0
Operating Expense,7516000000.0,6397000000.0,6292000000.0,6310000000.0
Depreciation Amortization Depletion Income Statement,132000000.0,134000000.0,194000000.0,174000000.0
Depreciation And Amortization In Income Statement,132000000.0,134000000.0,194000000.0,174000000.0
Amortization,132000000.0,134000000.0,194000000.0,174000000.0
Amortization Of Intangibles Income Statement,132000000.0,134000000.0,194000000.0,174000000.0
Selling General And Administration,7384000000.0,6263000000.0,6098000000.0,6136000000.0
Gross Profit,11312000000.0,11254000000.0,10446000000.0,10337000000.0
Cost Of Revenue,20184000000.0,17466000000.0,16135000000.0,15531000000.0
Total Revenue,31496000000.0,28720000000.0,26581000000.0,25868000000.0
Operating Revenue,31496000000.0,28720000000.0,26581000000.0,25868000000.0
