,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-75646153.846154,-37173220.0,-14434360.0,-588880.0
Tax Rate For Calcs,0.382051,0.34,0.34,0.34
Normalized EBITDA,1702000000.0,782607000.0,335451000.0,33682000.0
Total Unusual Items,-198000000.0,-109333000.0,-42454000.0,-1732000.0
Total Unusual Items Excluding Goodwill,-198000000.0,-109333000.0,-42454000.0,-1732000.0
Net Income From Continuing Operation Net Minority Interest,482000000.0,83304000.0,-707000.0,-171999000.0
Reconciled Depreciation,403000000.0,203942000.0,104992000.0,73320000.0
Reconciled Cost Of Revenue,5374000000.0,4064357000.0,2264255000.0,1194191000.0
EBITDA,1504000000.0,673274000.0,292997000.0,31950000.0
EBIT,1101000000.0,469332000.0,188005000.0,-41370000.0
Net Interest Income,-56000000.0,-90742000.0,-3923000.0,47647000.0
Interest Expense,321000000.0,228704000.0,106690000.0,65876000.0
Interest Income,265000000.0,137962000.0,102767000.0,113523000.0
Normalized Income,604353846.153846,155463780.0,27312640.0,-170855880.0
Net Income From Continuing And Discontinued Operation,482000000.0,83304000.0,-707000.0,-171999000.0
Total Expenses,9503000000.0,6628706000.0,3845773000.0,2449475000.0
Total Operating Income As Reported,1034000000.0,440703000.0,127692000.0,-153161000.0
Diluted Average Shares,51335621.0,49802993.0,49740407.0,48692904.0
Basic Average Shares,50345353.0,49802993.0,49740407.0,48692904.0
Diluted EPS,9.53,1.67,-0.08,-3.71
Basic EPS,9.57,1.67,-0.08,-3.71
Diluted NI Availto Com Stockholders,482000000.0,83304000.0,-707000.0,-171999000.0
Net Income Common Stockholders,482000000.0,83304000.0,-707000.0,-171999000.0
Otherunder Preferred Stock Dividend,0.0,0.0,,5841000.0
Preferred Stock Dividends,,,3200000.0,3000000.0
Net Income,482000000.0,83304000.0,-707000.0,-171999000.0
Net Income Including Noncontrolling Interests,482000000.0,83304000.0,-707000.0,-171999000.0
Net Income Continuous Operations,482000000.0,83304000.0,-707000.0,-171999000.0
Earnings From Equity Interest Net Of Tax,0.0,-8522000.0,,
Tax Provision,298000000.0,148802000.0,82022000.0,64753000.0
Pretax Income,780000000.0,240628000.0,81315000.0,-107246000.0
Other Income Expense,-198000000.0,-109333000.0,-42454000.0,-1732000.0
Special Income Charges,,,,0.0
Gain On Sale Of Business,,,,0.0
Impairment Of Capital Assets,,,,0.0
Gain On Sale Of Security,-198000000.0,-109333000.0,-42454000.0,-1732000.0
Net Non Operating Interest Income Expense,-56000000.0,-90742000.0,-3923000.0,47647000.0
Interest Expense Non Operating,321000000.0,228704000.0,106690000.0,65876000.0
Interest Income Non Operating,265000000.0,137962000.0,102767000.0,113523000.0
Operating Income,1034000000.0,440703000.0,127692000.0,-153161000.0
Operating Expense,4129000000.0,2564349000.0,1581518000.0,1255284000.0
Provision For Doubtful Accounts,1073000000.0,,,
Research And Development,1099000000.0,590328000.0,352474000.0,223807000.0
Selling General And Administration,1957000000.0,1974021000.0,1229044000.0,1031477000.0
Selling And Marketing Expense,1296000000.0,1509493000.0,902554000.0,834022000.0
General And Administrative Expense,661000000.0,464528000.0,326490000.0,197455000.0
Other Gand A,661000000.0,464528000.0,326490000.0,197455000.0
Gross Profit,5163000000.0,3005052000.0,1709210000.0,1102123000.0
Cost Of Revenue,5374000000.0,4064357000.0,2264255000.0,1194191000.0
Total Revenue,10537000000.0,7069409000.0,3973465000.0,2296314000.0
Operating Revenue,10537000000.0,7069409000.0,3973465000.0,2296314000.0
