,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.19,0.17,0.12,0.25
Normalized EBITDA,37630000000.0,54720000000.0,39533000000.0,29727000000.0
Total Unusual Items,-81000000.0,-140000000.0,-129000000.0,-105000000.0
Total Unusual Items Excluding Goodwill,-81000000.0,-140000000.0,-129000000.0,-105000000.0
Net Income From Continuing Operation Net Minority Interest,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Reconciled Depreciation,8686000000.0,7967000000.0,6862000000.0,5741000000.0
Reconciled Cost Of Revenue,25249000000.0,22649000000.0,16692000000.0,12770000000.0
EBITDA,37630000000.0,54720000000.0,39533000000.0,29727000000.0
EBIT,28944000000.0,46753000000.0,32671000000.0,23986000000.0
Net Interest Income,-125000000.0,531000000.0,509000000.0,826000000.0
Interest Expense,,,,20000000.0
Interest Income,276000000.0,531000000.0,509000000.0,924000000.0
Normalized Income,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Net Income From Continuing And Discontinued Operation,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Total Expenses,87665000000.0,71176000000.0,53294000000.0,46711000000.0
Total Operating Income As Reported,28944000000.0,46753000000.0,32671000000.0,23986000000.0
Diluted Average Shares,2702000000.0,2859000000.0,2888000000.0,2876000023.0
Basic Average Shares,2687000000.0,2815000000.0,2851000000.0,2854000022.0
Diluted EPS,8.59,13.77,10.09,6.43
Basic EPS,8.63,13.99,10.22,6.48
Diluted NI Availto Com Stockholders,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Average Dilution Earnings,,,,0.0
Net Income Common Stockholders,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Net Income Including Noncontrolling Interests,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Net Income Continuous Operations,23200000000.0,39370000000.0,29146000000.0,18485000000.0
Tax Provision,5619000000.0,7914000000.0,4034000000.0,6327000000.0
Pretax Income,28819000000.0,47284000000.0,33180000000.0,24812000000.0
Other Income Expense,-401000000.0,70000000.0,-163000000.0,-78000000.0
Other Non Operating Income Expenses,-320000000.0,210000000.0,-34000000.0,27000000.0
Gain On Sale Of Security,-81000000.0,-140000000.0,-129000000.0,-105000000.0
Net Non Operating Interest Income Expense,-125000000.0,531000000.0,509000000.0,826000000.0
Total Other Finance Cost,125000000.0,-531000000.0,-509000000.0,-826000000.0
Interest Expense Non Operating,,,,20000000.0
Interest Income Non Operating,276000000.0,531000000.0,509000000.0,924000000.0
Operating Income,28944000000.0,46753000000.0,32671000000.0,23986000000.0
Operating Expense,62416000000.0,48527000000.0,36602000000.0,33941000000.0
Research And Development,35338000000.0,24655000000.0,18447000000.0,13600000000.0
Selling General And Administration,27078000000.0,23872000000.0,18155000000.0,20341000000.0
Selling And Marketing Expense,15262000000.0,14043000000.0,11591000000.0,9876000000.0
General And Administrative Expense,11816000000.0,9829000000.0,6564000000.0,10465000000.0
Other Gand A,11816000000.0,9829000000.0,6564000000.0,10465000000.0
Gross Profit,91360000000.0,95280000000.0,69273000000.0,57927000000.0
Cost Of Revenue,25249000000.0,22649000000.0,16692000000.0,12770000000.0
Total Revenue,116609000000.0,117929000000.0,85965000000.0,70697000000.0
Operating Revenue,115801000000.0,117208000000.0,84169000000.0,69655000000.0
