,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.242,0.235,0.133,0.218
Normalized EBITDA,1584721000.0,1797467000.0,1633153000.0,1402939000.0
Net Income From Continuing Operation Net Minority Interest,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Reconciled Depreciation,61241000.0,50155000.0,60973000.0,64814000.0
Reconciled Cost Of Revenue,3136483000.0,2432839000.0,1874758000.0,1682234000.0
EBITDA,1584721000.0,1797467000.0,1633153000.0,1402939000.0
EBIT,1584721000.0,1797467000.0,1633153000.0,1402939000.0
Net Interest Income,,,-6996000.0,13023000.0
Interest Income,,,,13023000.0
Normalized Income,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Net Income From Continuing And Discontinued Operation,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Total Expenses,4726329000.0,3743885000.0,2965485000.0,2797880000.0
Total Operating Income As Reported,1584721000.0,1797467000.0,1633153000.0,1402939000.0
Diluted Average Shares,1066442000.0,1071278000.0,1069614000.0,1093216000.0
Basic Average Shares,1053558000.0,1057526000.0,1059278000.0,1084382000.0
Diluted EPS,1.115,1.285,1.32,1.015
Basic EPS,1.13,1.305,1.33,1.02
Diluted NI Availto Com Stockholders,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Net Income Common Stockholders,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Net Income,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Net Income Including Noncontrolling Interests,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Net Income Continuous Operations,1191624000.0,1377475000.0,1409594000.0,1107835000.0
Tax Provision,380340000.0,423944000.0,216563000.0,308127000.0
Pretax Income,1571964000.0,1801419000.0,1626157000.0,1415962000.0
Other Income Expense,-12757000.0,3952000.0,-6996000.0,13023000.0
Other Non Operating Income Expenses,-12757000.0,3952000.0,-6996000.0,13023000.0
Net Non Operating Interest Income Expense,,,-6996000.0,13023000.0
Total Other Finance Cost,,,6996000.0,-13023000.0
Interest Income Non Operating,,,,13023000.0
Operating Income,1584721000.0,1797467000.0,1633153000.0,1402939000.0
Operating Expense,1589846000.0,1311046000.0,1090727000.0,1115646000.0
Gross Profit,3174567000.0,3108513000.0,2723880000.0,2518585000.0
Cost Of Revenue,3136483000.0,2432839000.0,1874758000.0,1682234000.0
Total Revenue,6311050000.0,5541352000.0,4598638000.0,4200819000.0
Operating Revenue,6311050000.0,5541352000.0,4598638000.0,4200819000.0
