,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.13,0.081,0.27,0.00135
Normalized EBITDA,9768000000.0,13296000000.0,-763144000.0,-545720000.0
Total Unusual Items,-20000000.0,1000000.0,1301000.0,323000.0
Total Unusual Items Excluding Goodwill,-20000000.0,1000000.0,1301000.0,323000.0
Net Income From Continuing Operation Net Minority Interest,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Reconciled Depreciation,348000000.0,232000000.0,31251000.0,31021000.0
Reconciled Cost Of Revenue,5416000000.0,2617000000.0,7933000.0,
EBITDA,9768000000.0,13296000000.0,-763144000.0,-545720000.0
EBIT,9420000000.0,13296000000.0,-763144000.0,-545720000.0
Net Interest Income,200000000.0,18000000.0,24715000.0,38530000.0
Interest Expense,29000000.0,18000000.0,9886000.0,6612000.0
Interest Income,200000000.0,18000000.0,24715000.0,38530000.0
Normalized Income,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Net Income From Continuing And Discontinued Operation,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Total Expenses,9843000000.0,4440000000.0,1037634000.0,593756000.0
Total Operating Income As Reported,9420000000.0,13296000000.0,-763144000.0,-545720000.0
Diluted Average Shares,416000000.0,431000000.0,381000000.0,331000000.0
Basic Average Shares,394000000.0,403000000.0,381000000.0,331000000.0
Diluted EPS,20.12,28.29,-1.96,-1.55
Basic EPS,21.26,30.31,-1.96,-1.55
Diluted NI Availto Com Stockholders,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Net Income Common Stockholders,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Net Income Including Noncontrolling Interests,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Net Income Continuous Operations,8362000000.0,12202000000.0,-747064000.0,-514021000.0
Tax Provision,1213000000.0,1083000000.0,2551000.0,-695000.0
Pretax Income,9575000000.0,13285000000.0,-744513000.0,-514716000.0
Other Income Expense,-45000000.0,-29000000.0,-6084000.0,-7526000.0
Other Non Operating Income Expenses,-45000000.0,-29000000.0,-6084000.0,-7526000.0
Gain On Sale Of Security,-20000000.0,1000000.0,1301000.0,323000.0
Net Non Operating Interest Income Expense,200000000.0,18000000.0,24715000.0,38530000.0
Interest Expense Non Operating,29000000.0,18000000.0,9886000.0,6612000.0
Interest Income Non Operating,200000000.0,18000000.0,24715000.0,38530000.0
Operating Income,9420000000.0,13296000000.0,-763144000.0,-545720000.0
Operating Expense,4427000000.0,1823000000.0,1029701000.0,593756000.0
Other Operating Expenses,-388000000.0,-735000000.0,-528905000.0,-12173000.0
Research And Development,3295000000.0,1991000000.0,1370339000.0,496309000.0
Selling General And Administration,1132000000.0,567000000.0,188267000.0,109620000.0
General And Administrative Expense,,,,109620000.0
Other Gand A,,,,109620000.0
Gross Profit,13847000000.0,15119000000.0,266557000.0,
Cost Of Revenue,5416000000.0,2617000000.0,7933000.0,
Total Revenue,19263000000.0,17736000000.0,274490000.0,48036000.0
Operating Revenue,18435000000.0,17736000000.0,274490000.0,48036000.0
