,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,-25536000.0,-4178147.989121,-28796392.968886,-14938560.0
Tax Rate For Calcs,0.21,0.129186,0.139275,0.27
Normalized EBITDA,1769600000.0,933499000.0,595383000.0,1464081000.0
Total Unusual Items,-121600000.0,-32342000.0,-206759000.0,-55328000.0
Total Unusual Items Excluding Goodwill,-121600000.0,-32342000.0,-206759000.0,-55328000.0
Net Income From Continuing Operation Net Minority Interest,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Reconciled Depreciation,1392300000.0,1245311000.0,641528000.0,524740000.0
Reconciled Cost Of Revenue,2932100000.0,2398158000.0,1480550000.0,1342220000.0
EBITDA,1648000000.0,901157000.0,388624000.0,1408753000.0
EBIT,255700000.0,-344154000.0,-252904000.0,884013000.0
Net Interest Income,-165300000.0,-138591000.0,-66665000.0,-80815000.0
Interest Expense,170600000.0,139341000.0,69264000.0,85631000.0
Interest Income,5300000.0,750000.0,2599000.0,4816000.0
Normalized Income,-67436000.0,-392870147.989121,-99335392.968886,1624780440.0
Net Income From Continuing And Discontinued Operation,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Total Expenses,5560000000.0,4777709000.0,3020530000.0,2887191000.0
Total Operating Income As Reported,238000000.0,-347668000.0,-258389000.0,-243358000.0
Diluted Average Shares,851400000.0,796855000.0,668772000.0,676094000.0
Basic Average Shares,851400000.0,796855000.0,668772000.0,664709000.0
Diluted EPS,-0.19,-0.53,-0.41,2.34
Basic EPS,-0.19,-0.53,-0.41,2.38
Diluted NI Availto Com Stockholders,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Net Income Common Stockholders,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Net Income,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Net Income Including Noncontrolling Interests,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,-163500000.0,-421034000.0,-277298000.0,1584391000.0
Tax Provision,248600000.0,-62461000.0,-44870000.0,-786009000.0
Pretax Income,85100000.0,-483495000.0,-322168000.0,798382000.0
Other Income Expense,-109200000.0,-29578000.0,-203873000.0,1067227000.0
Other Non Operating Income Expenses,12400000.0,2764000.0,2886000.0,1122555000.0
Special Income Charges,-121600000.0,-32342000.0,-206759000.0,-55328000.0
Gain On Sale Of Business,,0.0,0.0,1121709000.0
Other Special Charges,100000000.0,,36000000.0,
Restructuring And Mergern Acquisition,21600000.0,32342000.0,170759000.0,55328000.0
Gain On Sale Of Security,,-1113000.0,-1914000.0,-2817000.0
Net Non Operating Interest Income Expense,-165300000.0,-138591000.0,-66665000.0,-80815000.0
Interest Expense Non Operating,170600000.0,139341000.0,69264000.0,85631000.0
Interest Income Non Operating,5300000.0,750000.0,2599000.0,4816000.0
Operating Income,359600000.0,-315326000.0,-51630000.0,-188030000.0
Operating Expense,2627900000.0,2379551000.0,1539980000.0,1544971000.0
Research And Development,1784300000.0,1424306000.0,1072740000.0,1080391000.0
Selling General And Administration,843600000.0,955245000.0,467240000.0,464580000.0
Gross Profit,2987500000.0,2064225000.0,1488350000.0,1356941000.0
Cost Of Revenue,2932100000.0,2398158000.0,1480550000.0,1342220000.0
Total Revenue,5919600000.0,4462383000.0,2968900000.0,2699161000.0
Operating Revenue,5919600000.0,4462383000.0,2968900000.0,2699161000.0
