,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Tax Effect Of Unusual Items,-35910000.0,-4453453.139693,-30921839.819878,0.0
Tax Rate For Calcs,0.21,0.09278,0.063364,0.093865
Normalized EBITDA,2657000000.0,16924000000.0,13103000000.0,8827000000.0
Total Unusual Items,-171000000.0,-48000000.0,-488000000.0,-25000000.0
Total Unusual Items Excluding Goodwill,-171000000.0,-48000000.0,-488000000.0,-25000000.0
Net Income From Continuing Operation Net Minority Interest,-5833000000.0,8687000000.0,5861000000.0,2687000000.0
Reconciled Depreciation,7756000000.0,7116000000.0,6214000000.0,5650000000.0
Reconciled Cost Of Revenue,16956000000.0,16860000000.0,17282000000.0,14883000000.0
EBITDA,2486000000.0,16876000000.0,12615000000.0,8827000000.0
EBIT,-5270000000.0,9760000000.0,6401000000.0,3177000000.0
Net Interest Income,80000000.0,-93000000.0,-146000000.0,-80000000.0
Interest Expense,388000000.0,189000000.0,183000000.0,194000000.0
Interest Income,468000000.0,96000000.0,37000000.0,114000000.0
Normalized Income,-5697910000.0,8730546546.860308,6318078160.180122,2687000000.0
Net Income From Continuing And Discontinued Operation,-5833000000.0,8687000000.0,5861000000.0,2687000000.0
Total Expenses,21114000000.0,21008000000.0,20934000000.0,18432000000.0
Total Operating Income As Reported,-5745000000.0,9702000000.0,6283000000.0,3003000000.0
Diluted Average Shares,1093000000.0,1122000000.0,1141000000.0,1131000000.0
Basic Average Shares,1093000000.0,1112000000.0,1120000000.0,1110000000.0
Diluted EPS,-5.34,7.75,5.14,2.37
Basic EPS,-5.34,7.81,5.23,2.42
Diluted NI Availto Com Stockholders,-5833000000.0,8687000000.0,5861000000.0,2687000000.0
Average Dilution Earnings,,0.0,0.0,-4000000.0
Net Income Common Stockholders,-5833000000.0,8687000000.0,5861000000.0,2687000000.0
Net Income,-5833000000.0,8687000000.0,5861000000.0,2687000000.0
Minority Interests,,0.0,0.0,-23000000.0
Net Income Including Noncontrolling Interests,-5833000000.0,8687000000.0,5861000000.0,2710000000.0
Net Income Continuous Operations,-5833000000.0,8687000000.0,5861000000.0,2710000000.0
Earnings From Equity Interest Net Of Tax,2000000.0,4000000.0,37000000.0,7000000.0
Tax Provision,177000000.0,888000000.0,394000000.0,280000000.0
Pretax Income,-5658000000.0,9571000000.0,6218000000.0,2983000000.0
Other Income Expense,-164000000.0,-86000000.0,-407000000.0,60000000.0
Other Non Operating Income Expenses,7000000.0,-38000000.0,81000000.0,60000000.0
Special Income Charges,-171000000.0,-48000000.0,-488000000.0,-17000000.0
Gain On Sale Of Ppe,54000000.0,41000000.0,24000000.0,3000000.0
Other Special Charges,68000000.0,83000000.0,1000000.0,-40000000.0
Write Off,14000000.0,,,
Impairment Of Capital Assets,101000000.0,,,
Restructuring And Mergern Acquisition,171000000.0,48000000.0,488000000.0,60000000.0
Gain On Sale Of Security,-8000000.0,26000000.0,82000000.0,-8000000.0
Net Non Operating Interest Income Expense,80000000.0,-93000000.0,-146000000.0,-80000000.0
Interest Expense Non Operating,388000000.0,189000000.0,183000000.0,194000000.0
Interest Income Non Operating,468000000.0,96000000.0,37000000.0,114000000.0
Operating Income,-5574000000.0,9750000000.0,6771000000.0,3003000000.0
Operating Expense,4158000000.0,4148000000.0,3652000000.0,3549000000.0
Other Operating Expenses,124000000.0,-34000000.0,95000000.0,68000000.0
Research And Development,3114000000.0,3116000000.0,2663000000.0,2600000000.0
Selling General And Administration,920000000.0,1066000000.0,894000000.0,881000000.0
Gross Profit,-1416000000.0,13898000000.0,10423000000.0,6552000000.0
Cost Of Revenue,16956000000.0,16860000000.0,17282000000.0,14883000000.0
Total Revenue,15540000000.0,30758000000.0,27705000000.0,21435000000.0
Operating Revenue,15540000000.0,30758000000.0,27705000000.0,21435000000.0
