,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.146659,0.123949,0.136888,0.094711
Normalized EBITDA,20332955000.0,19044502000.0,15507911000.0,12008080000.0
Net Income From Continuing Operation Net Minority Interest,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Reconciled Depreciation,14362814000.0,12438779000.0,10922622000.0,9319826000.0
Reconciled Cost Of Revenue,19168285000.0,17332683000.0,15276319000.0,12440213000.0
EBITDA,20332955000.0,19044502000.0,15507911000.0,12008080000.0
EBIT,5970141000.0,6605723000.0,4585289000.0,2688254000.0
Net Interest Income,-368902000.0,-354406000.0,-1385940000.0,-542023000.0
Interest Expense,706212000.0,765620000.0,1385940000.0,626023000.0
Interest Income,337310000.0,411214000.0,,84000000.0
Normalized Income,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Net Income From Continuing And Discontinued Operation,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Total Expenses,25982719000.0,23503335000.0,20410767000.0,17552193000.0
Total Operating Income As Reported,5632831000.0,6194509000.0,4585289000.0,2604254000.0
Diluted Average Shares,451290000.0,455372000.0,454208000.0,451765000.0
Basic Average Shares,444698000.0,443155000.0,440922000.0,437799000.0
Diluted EPS,9.95,11.24,6.08,4.13
Basic EPS,10.1,11.55,6.26,4.26
Diluted NI Availto Com Stockholders,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Net Income Common Stockholders,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Net Income,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Net Income Including Noncontrolling Interests,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Net Income Continuous Operations,4491924000.0,5116228000.0,2761395000.0,1866916000.0
Tax Provision,772005000.0,723875000.0,437954000.0,195315000.0
Pretax Income,5263929000.0,5840103000.0,3199349000.0,2062231000.0
Net Non Operating Interest Income Expense,-368902000.0,-354406000.0,-1385940000.0,-542023000.0
Interest Expense Non Operating,706212000.0,765620000.0,1385940000.0,626023000.0
Interest Income Non Operating,337310000.0,411214000.0,,84000000.0
Operating Income,5632831000.0,6194509000.0,4585289000.0,2604254000.0
Operating Expense,6814434000.0,6170652000.0,5134448000.0,5111980000.0
Research And Development,2711041000.0,2273885000.0,1829600000.0,1545149000.0
Selling General And Administration,4103393000.0,3896767000.0,3304848000.0,3566831000.0
Selling And Marketing Expense,2530502000.0,2545146000.0,2228362000.0,2652462000.0
General And Administrative Expense,1572891000.0,1351621000.0,1076486000.0,914369000.0
Other Gand A,1572891000.0,1351621000.0,1076486000.0,914369000.0
Gross Profit,12447265000.0,12365161000.0,9719737000.0,7716234000.0
Cost Of Revenue,19168285000.0,17332683000.0,15276319000.0,12440213000.0
Total Revenue,31615550000.0,29697844000.0,24996056000.0,20156447000.0
Operating Revenue,31615550000.0,29697844000.0,24996056000.0,20156447000.0
