,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,-284130000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.019,0.017,0.059
Normalized EBITDA,7340000000.0,11351000000.0,5691000000.0,3403000000.0
Total Unusual Items,-1353000000.0,,,
Total Unusual Items Excluding Goodwill,-1353000000.0,,,
Net Income From Continuing Operation Net Minority Interest,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Reconciled Depreciation,1544000000.0,1174000000.0,1098000000.0,381000000.0
Reconciled Cost Of Revenue,11618000000.0,9439000000.0,6279000000.0,4150000000.0
EBITDA,5987000000.0,11351000000.0,5691000000.0,3403000000.0
EBIT,4443000000.0,10177000000.0,4593000000.0,3022000000.0
Net Interest Income,5000000.0,-207000000.0,-127000000.0,126000000.0
Interest Expense,262000000.0,236000000.0,184000000.0,52000000.0
Interest Income,267000000.0,29000000.0,57000000.0,178000000.0
Normalized Income,5436870000.0,9752000000.0,4332000000.0,2796000000.0
Net Income From Continuing And Discontinued Operation,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Total Expenses,21397000000.0,16873000000.0,12143000000.0,8072000000.0
Total Operating Income As Reported,4224000000.0,10041000000.0,4532000000.0,2846000000.0
Diluted Average Shares,2507000000.0,2535000000.0,2512000000.0,2472000000.0
Basic Average Shares,2487000000.0,2496000000.0,2468000000.0,2436000000.0
Diluted EPS,1.74,3.85,1.725,1.13
Basic EPS,1.76,3.91,1.755,1.1475
Diluted NI Availto Com Stockholders,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Net Income Common Stockholders,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Net Income,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Net Income Including Noncontrolling Interests,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Net Income Continuous Operations,4368000000.0,9752000000.0,4332000000.0,2796000000.0
Tax Provision,-187000000.0,189000000.0,77000000.0,174000000.0
Pretax Income,4181000000.0,9941000000.0,4409000000.0,2970000000.0
Other Income Expense,-1401000000.0,107000000.0,4000000.0,-2000000.0
Other Non Operating Income Expenses,-48000000.0,107000000.0,4000000.0,-2000000.0
Special Income Charges,-1353000000.0,,,
Restructuring And Mergern Acquisition,1353000000.0,,,
Net Non Operating Interest Income Expense,5000000.0,-207000000.0,-127000000.0,126000000.0
Interest Expense Non Operating,262000000.0,236000000.0,184000000.0,52000000.0
Interest Income Non Operating,267000000.0,29000000.0,57000000.0,178000000.0
Operating Income,5577000000.0,10041000000.0,4532000000.0,2846000000.0
Operating Expense,9779000000.0,7434000000.0,5864000000.0,3922000000.0
Research And Development,7339000000.0,5268000000.0,3924000000.0,2829000000.0
Selling General And Administration,2440000000.0,2166000000.0,1940000000.0,1093000000.0
Gross Profit,15356000000.0,17475000000.0,10396000000.0,6768000000.0
Cost Of Revenue,11618000000.0,9439000000.0,6279000000.0,4150000000.0
Total Revenue,26974000000.0,26914000000.0,16675000000.0,10918000000.0
Operating Revenue,26974000000.0,26914000000.0,16675000000.0,10918000000.0
