,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-2831400.535236,-2744954.12844,-15000000.0,-756013.745704
Tax Rate For Calcs,0.1573,0.124771,0.25,0.068729
Normalized EBITDA,5062000000.0,3867000000.0,2352000000.0,2674000000.0
Total Unusual Items,-18000000.0,-22000000.0,-60000000.0,-11000000.0
Total Unusual Items Excluding Goodwill,-18000000.0,-22000000.0,-60000000.0,-11000000.0
Net Income From Continuing Operation Net Minority Interest,2787000000.0,1871000000.0,52000000.0,243000000.0
Reconciled Depreciation,1250000000.0,1262000000.0,1988000000.0,2047000000.0
Reconciled Cost Of Revenue,4947000000.0,4326000000.0,3716000000.0,3647000000.0
EBITDA,5044000000.0,3845000000.0,2292000000.0,2663000000.0
EBIT,3794000000.0,2583000000.0,304000000.0,616000000.0
Net Interest Income,-416000000.0,-381000000.0,-357000000.0,-339000000.0
Interest Expense,427000000.0,369000000.0,362000000.0,370000000.0
Interest Income,61000000.0,4000000.0,13000000.0,57000000.0
Normalized Income,2802168599.464764,1890255045.87156,97000000.0,253243986.254296
Net Income From Continuing And Discontinued Operation,2787000000.0,1871000000.0,52000000.0,243000000.0
Total Expenses,9411000000.0,8480000000.0,8308000000.0,8261000000.0
Total Operating Income As Reported,3797000000.0,2583000000.0,418000000.0,641000000.0
Diluted Average Shares,264053000.0,275646000.0,283809000.0,285911000.0
Basic Average Shares,261879000.0,270687000.0,279763000.0,282056000.0
Diluted EPS,10.55,6.79,0.18,0.85
Basic EPS,10.64,6.91,0.19,0.86
Diluted NI Availto Com Stockholders,2787000000.0,1871000000.0,52000000.0,243000000.0
Net Income Common Stockholders,2787000000.0,1871000000.0,52000000.0,243000000.0
Net Income,2787000000.0,1871000000.0,52000000.0,243000000.0
Minority Interests,-46000000.0,-35000000.0,-28000000.0,-29000000.0
Net Income Including Noncontrolling Interests,2833000000.0,1906000000.0,80000000.0,272000000.0
Net Income Continuous Operations,2833000000.0,1906000000.0,80000000.0,272000000.0
Earnings From Equity Interest Net Of Tax,-1000000.0,-2000000.0,-4000000.0,1000000.0
Tax Provision,529000000.0,272000000.0,-83000000.0,20000000.0
Pretax Income,3363000000.0,2180000000.0,1000000.0,291000000.0
Other Income Expense,-15000000.0,-22000000.0,54000000.0,14000000.0
Other Non Operating Income Expenses,3000000.0,2000000.0,114000000.0,25000000.0
Special Income Charges,-18000000.0,-22000000.0,-60000000.0,-11000000.0
Gain On Sale Of Business,,-2000000.0,0.0,0.0
Other Special Charges,18000000.0,22000000.0,60000000.0,11000000.0
Gain On Sale Of Security,-17000000.0,5000000.0,-16000000.0,-15000000.0
Net Non Operating Interest Income Expense,-416000000.0,-381000000.0,-357000000.0,-339000000.0
Total Other Finance Cost,416000000.0,381000000.0,357000000.0,339000000.0
Interest Expense Non Operating,427000000.0,369000000.0,362000000.0,370000000.0
Interest Income Non Operating,61000000.0,4000000.0,13000000.0,57000000.0
Operating Income,3794000000.0,2583000000.0,304000000.0,616000000.0
Operating Expense,3723000000.0,3484000000.0,3931000000.0,4002000000.0
Other Operating Expenses,,,-114000000.0,-25000000.0
Depreciation Amortization Depletion Income Statement,509000000.0,592000000.0,1327000000.0,1435000000.0
Depreciation And Amortization In Income Statement,509000000.0,592000000.0,1327000000.0,1435000000.0
Amortization,509000000.0,592000000.0,1327000000.0,1435000000.0
Amortization Of Intangibles Income Statement,509000000.0,592000000.0,1327000000.0,1435000000.0
Research And Development,2148000000.0,1936000000.0,1725000000.0,1643000000.0
Selling General And Administration,1066000000.0,956000000.0,879000000.0,924000000.0
Gross Profit,7517000000.0,6067000000.0,4235000000.0,4618000000.0
Cost Of Revenue,5688000000.0,4996000000.0,4377000000.0,4259000000.0
Total Revenue,13205000000.0,11063000000.0,8612000000.0,8877000000.0
Operating Revenue,13205000000.0,11063000000.0,8612000000.0,8877000000.0
