,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.252092,0.255,0.253707,0.252966
Normalized EBITDA,1842912000.0,1390150000.0,904146000.0,824326000.0
Total Unusual Items,,,-42364000.0,-52549000.0
Total Unusual Items Excluding Goodwill,,,-42364000.0,-52549000.0
Net Income From Continuing Operation Net Minority Interest,1377159000.0,1034375000.0,672682000.0,615518000.0
Reconciled Depreciation,276066000.0,259899000.0,261267000.0,253681000.0
Reconciled Cost Of Revenue,4003951000.0,3481268000.0,2786531000.0,2938895000.0
EBITDA,1842912000.0,1390150000.0,904146000.0,824326000.0
EBIT,1842912000.0,1390150000.0,904146000.0,824326000.0
Net Interest Income,3321000.0,-941000.0,-952000.0,6386000.0
Interest Expense,1563000.0,1727000.0,2782000.0,377000.0
Interest Income,4884000.0,786000.0,1830000.0,6763000.0
Normalized Income,1377159000.0,1034375000.0,672682000.0,615518000.0
Net Income From Continuing And Discontinued Operation,1377159000.0,1034375000.0,672682000.0,615518000.0
Total Expenses,4419445000.0,3864726000.0,3108247000.0,3290405000.0
Total Operating Income As Reported,1840632000.0,1391602000.0,906882000.0,818706000.0
Diluted Average Shares,113078000.0,116410000.0,118493000.0,120609000.0
Basic Average Shares,112341000.0,115651000.0,117737000.0,120414000.0
Diluted EPS,12.18,8.89,5.68,5.106667
Basic EPS,12.26,8.94,5.71,5.113333
Diluted NI Availto Com Stockholders,1377159000.0,1034375000.0,672682000.0,615518000.0
Net Income Common Stockholders,1377159000.0,1034375000.0,672682000.0,615518000.0
Net Income,1377159000.0,1034375000.0,672682000.0,615518000.0
Net Income Including Noncontrolling Interests,1377159000.0,1034375000.0,672682000.0,615518000.0
Net Income Continuous Operations,1377159000.0,1034375000.0,672682000.0,615518000.0
Tax Provision,464190000.0,354048000.0,228682000.0,208431000.0
Pretax Income,1841349000.0,1388423000.0,901364000.0,823949000.0
Other Income Expense,-2604000.0,-2238000.0,-4566000.0,-1143000.0
Other Non Operating Income Expenses,-2604000.0,-2238000.0,-4566000.0,-1143000.0
Special Income Charges,,,-42364000.0,-52549000.0
Other Special Charges,,,42364000.0,52549000.0
Net Non Operating Interest Income Expense,3321000.0,-941000.0,-952000.0,6386000.0
Interest Expense Non Operating,1563000.0,1727000.0,2782000.0,377000.0
Interest Income Non Operating,4884000.0,786000.0,1830000.0,6763000.0
Operating Income,1840632000.0,1391602000.0,906882000.0,818706000.0
Operating Expense,415494000.0,383458000.0,321716000.0,351510000.0
Other Operating Expenses,15372000.0,26249000.0,20588000.0,28546000.0
Other Taxes,141239000.0,133452000.0,116943000.0,116839000.0
Selling General And Administration,258883000.0,223757000.0,184185000.0,206125000.0
General And Administrative Expense,258883000.0,223757000.0,184185000.0,206125000.0
Other Gand A,200582000.0,170208000.0,141821000.0,153576000.0
Insurance And Claims,58301000.0,53549000.0,42364000.0,52549000.0
Gross Profit,2256126000.0,1775060000.0,1228598000.0,1170216000.0
Cost Of Revenue,4003951000.0,3481268000.0,2786531000.0,2938895000.0
Total Revenue,6260077000.0,5256328000.0,4015129000.0,4109111000.0
Operating Revenue,6260077000.0,5256328000.0,4015129000.0,4109111000.0
