,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-66910642.621285,-11788270.858525,-17955000.0,-46696312.364425
Tax Rate For Calcs,0.194056,0.126619,0.27,0.226681
Normalized EBITDA,3353700000.0,1978000000.0,1036600000.0,746100000.0
Total Unusual Items,-344800000.0,-93100000.0,-66500000.0,-206000000.0
Total Unusual Items Excluding Goodwill,-344800000.0,-93100000.0,-66500000.0,-206000000.0
Net Income From Continuing Operation Net Minority Interest,1902200000.0,1009600000.0,234200000.0,211700000.0
Reconciled Depreciation,551800000.0,596700000.0,625100000.0,115200000.0
Reconciled Cost Of Revenue,3778400000.0,3527800000.0,3034400000.0,3544300000.0
EBITDA,3008900000.0,1884900000.0,970100000.0,540100000.0
EBIT,2457100000.0,1288200000.0,345000000.0,424900000.0
Net Interest Income,-79400000.0,-129000000.0,-163500000.0,-138100000.0
Interest Expense,94900000.0,130400000.0,168400000.0,148300000.0
Interest Income,15500000.0,1400000.0,4900000.0,10200000.0
Normalized Income,2180089357.378715,1090911729.141475,282745000.0,371003687.635575
Net Income From Continuing And Discontinued Operation,1902200000.0,1009600000.0,234200000.0,211700000.0
Total Expenses,5561500000.0,5377900000.0,4839800000.0,4885400000.0
Total Operating Income As Reported,2360000000.0,1287600000.0,348700000.0,432700000.0
Diluted Average Shares,448200000.0,443800000.0,418800000.0,416000000.0
Basic Average Shares,433200000.0,425700000.0,410700000.0,410900000.0
Diluted EPS,4.24,2.27,0.56,0.51
Basic EPS,4.39,2.37,0.57,0.52
Diluted NI Availto Com Stockholders,1902200000.0,1009600000.0,234200000.0,211700000.0
Net Income Common Stockholders,1902200000.0,1009600000.0,234200000.0,211700000.0
Net Income,1902200000.0,1009600000.0,234200000.0,211700000.0
Minority Interests,-1600000.0,-1600000.0,-2200000.0,-2200000.0
Net Income Including Noncontrolling Interests,1903800000.0,1011200000.0,236400000.0,213900000.0
Net Income Continuous Operations,1903800000.0,1011200000.0,236400000.0,213900000.0
Tax Provision,458400000.0,146600000.0,-59800000.0,62700000.0
Pretax Income,2362200000.0,1157800000.0,176600000.0,276600000.0
Other Income Expense,-323100000.0,-75100000.0,-75100000.0,-217800000.0
Other Non Operating Income Expenses,21700000.0,18000000.0,-8600000.0,-11800000.0
Special Income Charges,-344800000.0,-93100000.0,-66500000.0,-206000000.0
Gain On Sale Of Ppe,,,0.0,0.0
Gain On Sale Of Business,67000000.0,10200000.0,0.0,0.0
Other Special Charges,7100000.0,29000000.0,,175700000.0
Impairment Of Capital Assets,386800000.0,2900000.0,1300000.0,1600000.0
Restructuring And Mergern Acquisition,17900000.0,71400000.0,65200000.0,28700000.0
Net Non Operating Interest Income Expense,-79400000.0,-129000000.0,-163500000.0,-138100000.0
Total Other Finance Cost,,,,6200000.0
Interest Expense Non Operating,94900000.0,130400000.0,168400000.0,148300000.0
Interest Income Non Operating,15500000.0,1400000.0,4900000.0,10200000.0
Operating Income,2764700000.0,1361900000.0,415200000.0,632500000.0
Operating Expense,1312500000.0,1352400000.0,1300600000.0,1341100000.0
Depreciation Amortization Depletion Income Statement,81200000.0,99000000.0,120300000.0,115200000.0
Depreciation And Amortization In Income Statement,81200000.0,99000000.0,120300000.0,115200000.0
Amortization,81200000.0,99000000.0,120300000.0,115200000.0
Amortization Of Intangibles Income Statement,81200000.0,99000000.0,120300000.0,115200000.0
Research And Development,600200000.0,655000000.0,642900000.0,640900000.0
Selling General And Administration,631100000.0,598400000.0,537400000.0,585000000.0
Selling And Marketing Expense,287900000.0,293600000.0,278700000.0,301000000.0
General And Administrative Expense,343200000.0,304800000.0,258700000.0,284000000.0
Other Gand A,343200000.0,304800000.0,258700000.0,284000000.0
Gross Profit,4077200000.0,2714300000.0,1715800000.0,1973600000.0
Cost Of Revenue,4249000000.0,4025500000.0,3539200000.0,3544300000.0
Total Revenue,8326200000.0,6739800000.0,5255000000.0,5517900000.0
Operating Revenue,8326200000.0,6739800000.0,5255000000.0,5517900000.0
