,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.223681,0.221872,0.226836,0.223024
Normalized EBITDA,3314308000.0,3254899000.0,2742166000.0,2201179000.0
Net Income From Continuing Operation Net Minority Interest,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Reconciled Depreciation,357933000.0,328217000.0,314635000.0,270875000.0
Reconciled Cost Of Revenue,7028154000.0,6307614000.0,5518801000.0,4755294000.0
EBITDA,3314308000.0,3254899000.0,2742166000.0,2201179000.0
EBIT,2956375000.0,2926682000.0,2427531000.0,1930304000.0
Net Interest Income,-152957000.0,-142797000.0,-158635000.0,-137430000.0
Interest Expense,157720000.0,144768000.0,161126000.0,139975000.0
Interest Income,4763000.0,1971000.0,2491000.0,2545000.0
Normalized Income,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Net Income From Continuing And Discontinued Operation,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Total Expenses,11455369000.0,10410395000.0,9185157000.0,8229259000.0
Total Operating Income As Reported,2954491000.0,2917168000.0,2419336000.0,1920726000.0
Diluted Average Shares,64962000.0,69611000.0,74462000.0,77788000.0
Basic Average Shares,64372000.0,68967000.0,73817000.0,76985000.0
Diluted EPS,33.44,31.1,23.53,17.88
Basic EPS,33.75,31.39,23.74,18.07
Diluted NI Availto Com Stockholders,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Net Income Common Stockholders,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Net Income,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Net Income Including Noncontrolling Interests,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Net Income Continuous Operations,2172650000.0,2164685000.0,1752302000.0,1391042000.0
Tax Provision,626005000.0,617229000.0,514103000.0,399287000.0
Pretax Income,2798655000.0,2781914000.0,2266405000.0,1790329000.0
Other Income Expense,-2879000.0,7543000.0,5704000.0,7033000.0
Other Non Operating Income Expenses,-2879000.0,7543000.0,5704000.0,7033000.0
Net Non Operating Interest Income Expense,-152957000.0,-142797000.0,-158635000.0,-137430000.0
Interest Expense Non Operating,157720000.0,144768000.0,161126000.0,139975000.0
Interest Income Non Operating,4763000.0,1971000.0,2491000.0,2545000.0
Operating Income,2954491000.0,2917168000.0,2419336000.0,1920726000.0
Operating Expense,4427215000.0,4102781000.0,3666356000.0,3473965000.0
Selling General And Administration,4427215000.0,4102781000.0,3666356000.0,3473965000.0
Gross Profit,7381706000.0,7019949000.0,6085692000.0,5394691000.0
Cost Of Revenue,7028154000.0,6307614000.0,5518801000.0,4755294000.0
Total Revenue,14409860000.0,13327563000.0,11604493000.0,10149985000.0
Operating Revenue,14409860000.0,13327563000.0,11604493000.0,10149985000.0
