,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.238,0.237,0.235,0.236
Normalized EBITDA,2209700000.0,2031800000.0,1652700000.0,1670200000.0
Net Income From Continuing Operation Net Minority Interest,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Reconciled Depreciation,176600000.0,191800000.0,192000000.0,209700000.0
Reconciled Cost Of Revenue,1453000000.0,1356300000.0,1271200000.0,1280800000.0
EBITDA,2209700000.0,2031800000.0,1652700000.0,1670200000.0
EBIT,2033100000.0,1840000000.0,1460700000.0,1460500000.0
Net Interest Income,12400000.0,-33700000.0,-33500000.0,-26500000.0
Interest Expense,36700000.0,36600000.0,35800000.0,38800000.0
Interest Income,49100000.0,2900000.0,2300000.0,12300000.0
Normalized Income,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Net Income From Continuing And Discontinued Operation,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Total Expenses,2974000000.0,2771700000.0,2596100000.0,2580000000.0
Total Operating Income As Reported,2033100000.0,1840000000.0,1460700000.0,1460500000.0
Diluted Average Shares,362300000.0,363100000.0,362100000.0,361000000.0
Basic Average Shares,360400000.0,360600000.0,359900000.0,358500000.0
Diluted EPS,4.3,3.84,3.03,3.04
Basic EPS,4.32,3.86,3.05,3.06
Diluted NI Availto Com Stockholders,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Net Income Common Stockholders,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Net Income,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Net Income Including Noncontrolling Interests,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Net Income Continuous Operations,1557300000.0,1392800000.0,1097500000.0,1098100000.0
Tax Provision,490900000.0,431800000.0,336700000.0,339000000.0
Pretax Income,2048200000.0,1824600000.0,1434200000.0,1437100000.0
Other Income Expense,15100000.0,-15400000.0,-26500000.0,-23400000.0
Other Non Operating Income Expenses,15100000.0,-15400000.0,-26500000.0,-23400000.0
Net Non Operating Interest Income Expense,12400000.0,-33700000.0,-33500000.0,-26500000.0
Interest Expense Non Operating,36700000.0,36600000.0,35800000.0,38800000.0
Interest Income Non Operating,49100000.0,2900000.0,2300000.0,12300000.0
Operating Income,2033100000.0,1840000000.0,1460700000.0,1460500000.0
Operating Expense,1521000000.0,1415400000.0,1324900000.0,1299200000.0
Selling General And Administration,1521000000.0,1415400000.0,1324900000.0,1299200000.0
Gross Profit,3554100000.0,3255400000.0,2785600000.0,2759700000.0
Cost Of Revenue,1453000000.0,1356300000.0,1271200000.0,1280800000.0
Total Revenue,5007100000.0,4611700000.0,4056800000.0,4040500000.0
Operating Revenue,4907300000.0,4554000000.0,3997500000.0,3953600000.0
