,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,13267622.833684,3430904.733877,7784576.874359,18888742.256066
Tax Rate For Calcs,0.217502,0.221349,0.216841,0.229511
Normalized EBITDA,4407800000.0,3178300000.0,2581000000.0,3969900000.0
Total Unusual Items,61000000.0,15500000.0,35900000.0,82300000.0
Total Unusual Items Excluding Goodwill,61000000.0,15500000.0,35900000.0,82300000.0
Net Income From Continuing Operation Net Minority Interest,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Reconciled Depreciation,790200000.0,903300000.0,1049000000.0,1077300000.0
Reconciled Cost Of Revenue,24068100000.0,20230400000.0,16276500000.0,21584300000.0
EBITDA,4468800000.0,3193800000.0,2616900000.0,4052200000.0
EBIT,3678600000.0,2290500000.0,1567900000.0,2974900000.0
Net Interest Income,109100000.0,72600000.0,54100000.0,42000000.0
Interest Expense,,1120300000.0,1200100000.0,
Interest Income,,72600000.0,54100000.0,42000000.0
Normalized Income,2963867622.833684,1840030904.733877,1270284576.874359,2324488742.256066
Net Income From Continuing And Discontinued Operation,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Total Expenses,25141100000.0,21231800000.0,17160600000.0,22624800000.0
Diluted Average Shares,523399999.0,522700000.0,521200000.0,521250000.0
Basic Average Shares,522600000.0,521700000.0,520200000.0,520350000.0
Diluted EPS,5.75,3.57,2.5,4.58
Basic EPS,5.76,3.58,2.5,4.586667
Diluted NI Availto Com Stockholders,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Net Income Common Stockholders,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Net Income,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Net Income Including Noncontrolling Interests,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Net Income Continuous Operations,3011600000.0,1852100000.0,1298400000.0,2387900000.0
Tax Provision,837100000.0,526500000.0,359500000.0,711300000.0
Pretax Income,3848700000.0,2378600000.0,1657900000.0,3099200000.0
Other Income Expense,61000000.0,15500000.0,35900000.0,82300000.0
Gain On Sale Of Security,61000000.0,15500000.0,35900000.0,82300000.0
Net Non Operating Interest Income Expense,109100000.0,72600000.0,54100000.0,42000000.0
Total Other Finance Cost,-109100000.0,-72600000.0,-54100000.0,-42000000.0
Interest Expense Non Operating,,1120300000.0,1200100000.0,
Interest Income Non Operating,,72600000.0,54100000.0,42000000.0
Operating Income,3678600000.0,2290500000.0,1567900000.0,2974900000.0
Operating Expense,1073000000.0,1001400000.0,884100000.0,1040500000.0
Provision For Doubtful Accounts,5500000.0,500000.0,28800000.0,15400000.0
Depreciation Amortization Depletion Income Statement,474900000.0,597800000.0,651900000.0,605400000.0
Depreciation And Amortization In Income Statement,474900000.0,597800000.0,651900000.0,605400000.0
Depreciation Income Statement,474900000.0,597800000.0,651900000.0,605400000.0
Research And Development,341200000.0,324100000.0,273900000.0,326600000.0
Selling General And Administration,726300000.0,676800000.0,581400000.0,698500000.0
Gross Profit,4751600000.0,3291900000.0,2452000000.0,4015400000.0
Cost Of Revenue,24068100000.0,20230400000.0,16276500000.0,21584300000.0
Total Revenue,28819700000.0,23522300000.0,18728500000.0,25599700000.0
Operating Revenue,28819700000.0,23522300000.0,18728500000.0,25599700000.0
