,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-19426105.456068,14672496.942761,0.0,0.0
Tax Rate For Calcs,0.129758,0.204495,0.0,0.0
Normalized EBITDA,36620379000.0,10614679000.0,-6731257000.0,-6913600000.0
Total Unusual Items,-149710000.0,71750000.0,225197000.0,63179000.0
Total Unusual Items Excluding Goodwill,-149710000.0,71750000.0,225197000.0,63179000.0
Net Income From Continuing Operation Net Minority Interest,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Reconciled Depreciation,2735084000.0,1844243000.0,800468000.0,637831000.0
Reconciled Cost Of Revenue,31462298000.0,31718093000.0,19278641000.0,6338778000.0
EBITDA,36470669000.0,10686429000.0,-6506060000.0,-6850421000.0
EBIT,36470669000.0,10686429000.0,-6506060000.0,-6850421000.0
Net Interest Income,3945445000.0,1830660000.0,1698030000.0,1395967000.0
Interest Expense,51655000.0,1231002000.0,757336000.0,145858000.0
Interest Income,3997100000.0,3061662000.0,2455366000.0,1541825000.0
Normalized Income,31668345894.543934,7711592496.942761,-7404939000.0,-7030782000.0
Net Income From Continuing And Discontinued Operation,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Total Expenses,100155668000.0,87053177000.0,68872190000.0,38680097000.0
Total Operating Income As Reported,30401921000.0,6896762000.0,-9380325000.0,-8538211000.0
Diluted Average Shares,1440322860.0,1428441074.0,1192085825.0,1156819500.0
Basic Average Shares,1264385031.0,1253162834.0,1192085825.0,1156819500.0
Diluted EPS,21.92,5.44,-6.04,-6.04
Basic EPS,24.96,6.2,-6.04,-6.04
Diluted NI Availto Com Stockholders,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Average Dilution Earnings,51655000.0,,,
Net Income Common Stockholders,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Otherunder Preferred Stock Dividend,,,,0.0
Net Income,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Net Income Including Noncontrolling Interests,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Net Income Continuous Operations,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
Earnings From Equity Interest Net Of Tax,-155285000.0,246828000.0,83654000.0,28676000.0
Tax Provision,4725667000.0,1933585000.0,0.0,0.0
Pretax Income,36419014000.0,9455427000.0,-7263396000.0,-6996279000.0
Other Income Expense,2071648000.0,728005000.0,418899000.0,145965000.0
Other Non Operating Income Expenses,2221358000.0,656255000.0,193702000.0,82786000.0
Special Income Charges,,,,0.0
Write Off,,,,0.0
Gain On Sale Of Security,-149710000.0,71750000.0,225197000.0,63179000.0
Net Non Operating Interest Income Expense,3945445000.0,1830660000.0,1698030000.0,1395967000.0
Interest Expense Non Operating,51655000.0,1231002000.0,757336000.0,145858000.0
Interest Income Non Operating,3997100000.0,3061662000.0,2455366000.0,1541825000.0
Operating Income,30401921000.0,6896762000.0,-9380325000.0,-8538211000.0
Operating Expense,68693370000.0,55335084000.0,49593549000.0,32341319000.0
Research And Development,10384716000.0,8992590000.0,6891653000.0,3870358000.0
Selling General And Administration,58308654000.0,46342494000.0,42701896000.0,28470961000.0
Selling And Marketing Expense,54343719000.0,44801720000.0,41194599000.0,27174249000.0
General And Administrative Expense,3964935000.0,1540774000.0,1507297000.0,1296712000.0
Other Gand A,3964935000.0,1540774000.0,1507297000.0,1296712000.0
Gross Profit,99095291000.0,62231846000.0,40213224000.0,23803108000.0
Cost Of Revenue,31462298000.0,31718093000.0,19278641000.0,6338778000.0
Total Revenue,130557589000.0,93949939000.0,59491865000.0,30141886000.0
Operating Revenue,130557589000.0,93949939000.0,59491865000.0,30141886000.0
