,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,31000000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2,0.218,0.209,0.21
Normalized EBITDA,14769000000.0,14899000000.0,12745000000.0,12879000000.0
Total Unusual Items,155000000.0,,,
Total Unusual Items Excluding Goodwill,155000000.0,,,
Net Income From Continuing Operation Net Minority Interest,8910000000.0,7618000000.0,7120000000.0,7314000000.0
Reconciled Depreciation,3280000000.0,3215000000.0,2548000000.0,2432000000.0
Reconciled Cost Of Revenue,40576000000.0,37075000000.0,31797000000.0,30132000000.0
EBITDA,14924000000.0,14899000000.0,12745000000.0,12879000000.0
EBIT,11644000000.0,11684000000.0,10197000000.0,10447000000.0
Net Interest Income,-939000000.0,-1863000000.0,-1128000000.0,-935000000.0
Interest Expense,939000000.0,1863000000.0,1128000000.0,1135000000.0
Interest Income,,,,200000000.0
Normalized Income,8786000000.0,7618000000.0,7120000000.0,7314000000.0
Net Income From Continuing And Discontinued Operation,8910000000.0,7618000000.0,7120000000.0,7314000000.0
Total Expenses,75035000000.0,68312000000.0,60292000000.0,56870000000.0
Total Operating Income As Reported,11512000000.0,11162000000.0,10080000000.0,10291000000.0
Diluted Average Shares,1387000000.0,1389000000.0,1392000000.0,1407000000.0
Basic Average Shares,1377000000.0,1383000000.0,1380000000.0,1391000000.0
Diluted EPS,6.42,5.49,5.12,5.2
Basic EPS,6.470588,5.508315,5.15942,5.258088
Diluted NI Availto Com Stockholders,8910000000.0,7618000000.0,7120000000.0,7314000000.0
Average Dilution Earnings,,,0.0,0.0
Net Income Common Stockholders,8910000000.0,7618000000.0,7120000000.0,7314000000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,8910000000.0,7618000000.0,7120000000.0,7314000000.0
Minority Interests,-68000000.0,-61000000.0,-55000000.0,-39000000.0
Net Income Including Noncontrolling Interests,8978000000.0,7679000000.0,7175000000.0,7353000000.0
Net Income Continuous Operations,8978000000.0,7679000000.0,7175000000.0,7353000000.0
Tax Provision,1727000000.0,2142000000.0,1894000000.0,1959000000.0
Pretax Income,10705000000.0,9821000000.0,9069000000.0,9312000000.0
Other Income Expense,287000000.0,522000000.0,117000000.0,-44000000.0
Other Non Operating Income Expenses,132000000.0,522000000.0,117000000.0,-44000000.0
Special Income Charges,155000000.0,,,
Impairment Of Capital Assets,3166000000.0,,,
Restructuring And Mergern Acquisition,-3321000000.0,,,
Net Non Operating Interest Income Expense,-939000000.0,-1863000000.0,-1128000000.0,-935000000.0
Interest Expense Non Operating,939000000.0,1863000000.0,1128000000.0,1135000000.0
Interest Income Non Operating,,,,200000000.0
Operating Income,11357000000.0,11162000000.0,10080000000.0,10291000000.0
Operating Expense,34459000000.0,31237000000.0,28495000000.0,26738000000.0
Selling General And Administration,34459000000.0,31237000000.0,28495000000.0,26738000000.0
Gross Profit,45816000000.0,42399000000.0,38575000000.0,37029000000.0
Cost Of Revenue,40576000000.0,37075000000.0,31797000000.0,30132000000.0
Total Revenue,86392000000.0,79474000000.0,70372000000.0,67161000000.0
Operating Revenue,86392000000.0,79474000000.0,70372000000.0,67161000000.0
