,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-143591000.0,-4320000.0,301750000.0,-12780000.0
Tax Rate For Calcs,0.281,0.27,0.17,0.18
Normalized EBITDA,5498000000.0,5612000000.0,4688000000.0,3773000000.0
Total Unusual Items,-511000000.0,-16000000.0,1775000000.0,-71000000.0
Total Unusual Items Excluding Goodwill,-511000000.0,-16000000.0,1775000000.0,-71000000.0
Net Income From Continuing Operation Net Minority Interest,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Reconciled Depreciation,1317000000.0,1265000000.0,1189000000.0,912000000.0
Reconciled Cost Of Revenue,13745000000.0,11375000000.0,9675000000.0,8170000000.0
EBITDA,4987000000.0,5596000000.0,6463000000.0,3702000000.0
EBIT,3670000000.0,4331000000.0,5274000000.0,2790000000.0
Net Interest Income,-130000000.0,-175000000.0,-121000000.0,82000000.0
Interest Expense,304000000.0,232000000.0,209000000.0,115000000.0
Interest Income,174000000.0,57000000.0,88000000.0,197000000.0
Normalized Income,2786409000.0,4180680000.0,2728750000.0,2517220000.0
Net Income From Continuing And Discontinued Operation,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Total Expenses,23474000000.0,21047000000.0,18026000000.0,14982000000.0
Total Operating Income As Reported,3837000000.0,4262000000.0,3289000000.0,2719000000.0
Diluted Average Shares,1158000000.0,1186000000.0,1187000000.0,1188000000.0
Basic Average Shares,1154000000.0,1174000000.0,1173000000.0,1174000000.0
Diluted EPS,2.09,3.52,3.54,2.07
Basic EPS,2.1,3.55,3.58,2.09
Diluted NI Availto Com Stockholders,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Net Income Common Stockholders,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Net Income,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Net Income Including Noncontrolling Interests,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Net Income Continuous Operations,2419000000.0,4169000000.0,4202000000.0,2459000000.0
Tax Provision,947000000.0,-70000000.0,863000000.0,539000000.0
Pretax Income,3366000000.0,4099000000.0,5065000000.0,2998000000.0
Other Income Expense,-548000000.0,-50000000.0,1758000000.0,208000000.0
Other Non Operating Income Expenses,-37000000.0,-34000000.0,-17000000.0,279000000.0
Special Income Charges,-207000000.0,-62000000.0,-139000000.0,-71000000.0
Restructuring And Mergern Acquisition,207000000.0,62000000.0,139000000.0,71000000.0
Gain On Sale Of Security,-304000000.0,46000000.0,1914000000.0,208000000.0
Net Non Operating Interest Income Expense,-130000000.0,-175000000.0,-121000000.0,82000000.0
Interest Expense Non Operating,304000000.0,232000000.0,209000000.0,115000000.0
Interest Income Non Operating,174000000.0,57000000.0,88000000.0,197000000.0
Operating Income,4044000000.0,4324000000.0,3428000000.0,2790000000.0
Operating Expense,9729000000.0,9672000000.0,8351000000.0,6812000000.0
Other Operating Expenses,2120000000.0,2075000000.0,1778000000.0,1615000000.0
Research And Development,3253000000.0,3038000000.0,2642000000.0,2085000000.0
Selling General And Administration,4356000000.0,4559000000.0,5709000000.0,3112000000.0
Selling And Marketing Expense,2257000000.0,2445000000.0,1861000000.0,1401000000.0
General And Administrative Expense,2099000000.0,2114000000.0,3848000000.0,1711000000.0
Other Gand A,2099000000.0,2114000000.0,3848000000.0,1711000000.0
Gross Profit,13773000000.0,13996000000.0,11779000000.0,9602000000.0
Cost Of Revenue,13745000000.0,11375000000.0,9675000000.0,8170000000.0
Total Revenue,27518000000.0,25371000000.0,21454000000.0,17772000000.0
Operating Revenue,27518000000.0,25371000000.0,21454000000.0,17772000000.0
