,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,4876528.281607,-40950000.0,125088962.429434,6012589.613569
Tax Rate For Calcs,0.013973,0.13,0.119817,0.0911
Normalized EBITDA,9597000000.0,17565000000.0,11371000000.0,7648000000.0
Total Unusual Items,349000000.0,-315000000.0,1044000000.0,66000000.0
Total Unusual Items Excluding Goodwill,349000000.0,-315000000.0,1044000000.0,66000000.0
Net Income From Continuing Operation Net Minority Interest,7339000000.0,12986000000.0,9043000000.0,5198000000.0
Reconciled Depreciation,1809000000.0,1762000000.0,1582000000.0,1393000000.0
Reconciled Cost Of Revenue,15869000000.0,18635000000.0,14262000000.0,9255000000.0
EBITDA,9946000000.0,17250000000.0,12415000000.0,7714000000.0
EBIT,8137000000.0,15488000000.0,10833000000.0,6321000000.0
Net Interest Income,-694000000.0,-399000000.0,-559000000.0,-602000000.0
Interest Expense,694000000.0,490000000.0,559000000.0,602000000.0
Interest Income,313000000.0,91000000.0,83000000.0,156000000.0
Normalized Income,6994876528.281607,13260050000.0,8124088962.429434,5138012589.613569
Net Income From Continuing And Discontinued Operation,7232000000.0,12936000000.0,9043000000.0,5198000000.0
Total Expenses,28032000000.0,28340000000.0,23777000000.0,17276000000.0
Total Operating Income As Reported,7788000000.0,15860000000.0,9789000000.0,6255000000.0
Diluted Average Shares,,1137000000.0,1149000000.0,1149000000.0
Basic Average Shares,,1123000000.0,1131000000.0,1135000000.0
Diluted EPS,,11.37,7.87,4.52
Basic EPS,,11.52,7.99,4.58
Diluted NI Availto Com Stockholders,7232000000.0,12936000000.0,9043000000.0,5198000000.0
Net Income Common Stockholders,7232000000.0,12936000000.0,9043000000.0,5198000000.0
Net Income,7232000000.0,12936000000.0,9043000000.0,5198000000.0
Net Income Including Noncontrolling Interests,7232000000.0,12936000000.0,9043000000.0,5198000000.0
Net Income Discontinuous Operations,-107000000.0,-50000000.0,,
Net Income Continuous Operations,7339000000.0,12986000000.0,9043000000.0,5198000000.0
Tax Provision,104000000.0,2012000000.0,1231000000.0,521000000.0
Pretax Income,7443000000.0,14998000000.0,10274000000.0,5719000000.0
Other Income Expense,349000000.0,-463000000.0,1044000000.0,66000000.0
Other Non Operating Income Expenses,86000000.0,-141000000.0,130000000.0,47000000.0
Special Income Charges,-132000000.0,-47000000.0,-33000000.0,-405000000.0
Write Off,132000000.0,47000000.0,33000000.0,405000000.0
Earnings From Equity Interest,,-7000000.0,13000000.0,-21000000.0
Gain On Sale Of Security,349000000.0,-268000000.0,1044000000.0,66000000.0
Net Non Operating Interest Income Expense,-694000000.0,-399000000.0,-559000000.0,-602000000.0
Interest Expense Non Operating,694000000.0,490000000.0,559000000.0,602000000.0
Interest Income Non Operating,313000000.0,91000000.0,83000000.0,156000000.0
Operating Income,7788000000.0,15860000000.0,9789000000.0,6255000000.0
Operating Expense,12163000000.0,9705000000.0,9515000000.0,8021000000.0
Other Operating Expenses,862000000.0,-1059000000.0,,-28000000.0
Research And Development,8818000000.0,8194000000.0,7176000000.0,5975000000.0
Selling General And Administration,2483000000.0,2570000000.0,2339000000.0,2074000000.0
Gross Profit,19951000000.0,25565000000.0,19304000000.0,14276000000.0
Cost Of Revenue,15869000000.0,18635000000.0,14262000000.0,9255000000.0
Total Revenue,35820000000.0,44200000000.0,33566000000.0,23531000000.0
Operating Revenue,35820000000.0,44200000000.0,33566000000.0,23531000000.0
