,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-27295700.0,0.0,0.0,0.0
Tax Rate For Calcs,0.107,0.134,0.078,0.129
Normalized EBITDA,5173300000.0,9383100000.0,3867300000.0,2209800000.0
Total Unusual Items,-255100000.0,,,
Total Unusual Items Excluding Goodwill,-255100000.0,,,
Net Income From Continuing Operation Net Minority Interest,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Reconciled Depreciation,341400000.0,286200000.0,235900000.0,210300000.0
Reconciled Cost Of Revenue,1560400000.0,2437500000.0,1119900000.0,782200000.0
EBITDA,4918200000.0,9383100000.0,3867300000.0,2209800000.0
EBIT,4918200000.0,9383100000.0,3867300000.0,2209800000.0
Net Interest Income,-59400000.0,-57300000.0,-56900000.0,-30200000.0
Interest Expense,59400000.0,57300000.0,56900000.0,30200000.0
Interest Income,160100000.0,,,
Normalized Income,4566204300.0,8075300000.0,3513200000.0,2115800000.0
Net Income From Continuing And Discontinued Operation,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Total Expenses,7178900000.0,7124900000.0,4920500000.0,5653600000.0
Total Operating Income As Reported,4738900000.0,8946800000.0,3576600000.0,2209800000.0
Diluted Average Shares,113500000.0,112200002.0,115100002.0,114600002.0
Basic Average Shares,107100000.0,105700002.0,107600002.0,109200002.0
Diluted EPS,38.22,71.969999,30.519999,18.46
Basic EPS,40.51,76.399998,32.649999,19.38
Diluted NI Availto Com Stockholders,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Net Income Common Stockholders,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Net Income,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Net Income Including Noncontrolling Interests,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Net Income Continuous Operations,4338400000.0,8075300000.0,3513200000.0,2115800000.0
Tax Provision,520400000.0,1250500000.0,297200000.0,313300000.0
Pretax Income,4858800000.0,9325800000.0,3810400000.0,2429100000.0
Other Income Expense,-75800000.0,436300000.0,290700000.0,219300000.0
Other Non Operating Income Expenses,179300000.0,436300000.0,290700000.0,219300000.0
Special Income Charges,-255100000.0,,,
Other Special Charges,255100000.0,,,
Gain On Sale Of Security,-39800000.0,,,
Net Non Operating Interest Income Expense,-59400000.0,-57300000.0,-56900000.0,-30200000.0
Interest Expense Non Operating,59400000.0,57300000.0,56900000.0,30200000.0
Interest Income Non Operating,160100000.0,,,
Operating Income,4994000000.0,8946800000.0,3576600000.0,2209800000.0
Operating Expense,5618500000.0,4687400000.0,3800600000.0,4871400000.0
Other Operating Expenses,-89900000.0,-45600000.0,-280400000.0,
Research And Development,3592500000.0,2908100000.0,2735000000.0,3036600000.0
Selling General And Administration,2115900000.0,1824900000.0,1346000000.0,1834800000.0
Gross Profit,10612500000.0,13634200000.0,7377200000.0,7081200000.0
Cost Of Revenue,1560400000.0,2437500000.0,1119900000.0,782200000.0
Total Revenue,12172900000.0,16071700000.0,8497100000.0,7863400000.0
Operating Revenue,11807800000.0,15790500000.0,7940100000.0,7450000000.0
