,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.23922,0.2373,0.19676,0.232575
Normalized EBITDA,2384986000.0,2693532000.0,553955000.0,2497074000.0
Net Income From Continuing Operation Net Minority Interest,1512041000.0,1722589000.0,85382000.0,1660928000.0
Reconciled Depreciation,394655000.0,360664000.0,364245000.0,350892000.0
Reconciled Cost Of Revenue,13946230000.0,13708907000.0,9838574000.0,11536187000.0
EBITDA,2384986000.0,2693532000.0,553955000.0,2497074000.0
EBIT,1990331000.0,2332868000.0,189710000.0,2146182000.0
Net Interest Income,-2842000.0,-74328000.0,-83413000.0,18106000.0
Interest Expense,2842000.0,75161000.0,88064000.0,9740000.0
Interest Income,77706000.0,833000.0,4651000.0,18106000.0
Normalized Income,1512041000.0,1722589000.0,85382000.0,1660928000.0
Net Income From Continuing And Discontinued Operation,1512041000.0,1722589000.0,85382000.0,1660928000.0
Total Expenses,16705498000.0,16583376000.0,12341855000.0,13892891000.0
Diluted Average Shares,345222000.0,353734000.0,354619000.0,361182000.0
Basic Average Shares,343452000.0,351496000.0,352392000.0,358462000.0
Diluted EPS,4.38,4.87,0.24,4.6
Basic EPS,4.4,4.9,0.24,4.63
Diluted NI Availto Com Stockholders,1512041000.0,1722589000.0,85382000.0,1660928000.0
Net Income Common Stockholders,1512041000.0,1722589000.0,85382000.0,1660928000.0
Net Income,1512041000.0,1722589000.0,85382000.0,1660928000.0
Net Income Including Noncontrolling Interests,1512041000.0,1722589000.0,85382000.0,1660928000.0
Net Income Continuous Operations,1512041000.0,1722589000.0,85382000.0,1660928000.0
Tax Provision,475448000.0,535951000.0,20915000.0,503360000.0
Pretax Income,1987489000.0,2258540000.0,106297000.0,2164288000.0
Net Non Operating Interest Income Expense,-2842000.0,-74328000.0,-83413000.0,18106000.0
Total Other Finance Cost,,74328000.0,83413000.0,
Interest Expense Non Operating,2842000.0,75161000.0,88064000.0,9740000.0
Interest Income Non Operating,77706000.0,833000.0,4651000.0,18106000.0
Operating Income,1990331000.0,2332868000.0,189710000.0,2146182000.0
Operating Expense,2759268000.0,2874469000.0,2503281000.0,2356704000.0
Selling General And Administration,2759268000.0,2874469000.0,2503281000.0,2356704000.0
Gross Profit,4749599000.0,5207337000.0,2692991000.0,4502886000.0
Cost Of Revenue,13946230000.0,13708907000.0,9838574000.0,11536187000.0
Total Revenue,18695829000.0,18916244000.0,12531565000.0,16039073000.0
Operating Revenue,18695829000.0,18916244000.0,12531565000.0,16039073000.0
