,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,16402000.0,-10304000.0,149925600.0,-57412200.0
Tax Rate For Calcs,0.236,0.224,0.216,0.206
Normalized EBITDA,7332800000.0,6290200000.0,6656700000.0,3383300000.0
Total Unusual Items,69500000.0,-46000000.0,694100000.0,-278700000.0
Total Unusual Items Excluding Goodwill,69500000.0,-46000000.0,694100000.0,-278700000.0
Net Income From Continuing Operation Net Minority Interest,4124500000.0,3281600000.0,4199300000.0,928300000.0
Reconciled Depreciation,1450300000.0,1529400000.0,1524100000.0,1503200000.0
Reconciled Cost Of Revenue,26041700000.0,23797700000.0,20587200000.0,18387000000.0
EBITDA,7402300000.0,6244200000.0,7350800000.0,3104600000.0
EBIT,5952000000.0,4714800000.0,5826700000.0,1601400000.0
Net Interest Income,-468900000.0,-385900000.0,-379700000.0,-397300000.0
Interest Expense,550100000.0,482900000.0,469800000.0,437000000.0
Interest Income,81200000.0,97000000.0,90100000.0,39700000.0
Normalized Income,4071402000.0,3317296000.0,3655125600.0,1149587800.0
Net Income From Continuing And Discontinued Operation,4124500000.0,3281600000.0,4199300000.0,928300000.0
Total Expenses,30472700000.0,27820600000.0,24403400000.0,22000100000.0
Rent Expense Supplemental,,2674100000.0,2561500000.0,
Total Operating Income As Reported,5870800000.0,4617800000.0,4872100000.0,1561700000.0
Diluted Average Shares,,1158500000.0,1185500000.0,1181800000.0
Basic Average Shares,,1153300000.0,1180000000.0,1173300000.0
Diluted EPS,,2.83,3.54,0.79
Basic EPS,,2.85,3.561445,0.791187
Diluted NI Availto Com Stockholders,4124500000.0,3281600000.0,4199300000.0,928300000.0
Net Income Common Stockholders,4124500000.0,3281600000.0,4199300000.0,928300000.0
Net Income,4124500000.0,3281600000.0,4199300000.0,928300000.0
Minority Interests,-200000.0,-1800000.0,-1000000.0,3600000.0
Net Income Including Noncontrolling Interests,4124700000.0,3283400000.0,4200300000.0,924700000.0
Net Income Continuous Operations,4124700000.0,3283400000.0,4200300000.0,924700000.0
Tax Provision,1277200000.0,948500000.0,1156600000.0,239700000.0
Pretax Income,5401900000.0,4231900000.0,5356900000.0,1164400000.0
Other Income Expense,367900000.0,188100000.0,1079400000.0,43800000.0
Special Income Charges,69500000.0,-46000000.0,694100000.0,-278700000.0
Gain On Sale Of Ppe,91300000.0,,,
Gain On Sale Of Business,,0.0,864500000.0,0.0
Restructuring And Mergern Acquisition,21800000.0,46000000.0,170400000.0,278700000.0
Earnings From Equity Interest,298400000.0,234100000.0,385300000.0,322500000.0
Net Non Operating Interest Income Expense,-468900000.0,-385900000.0,-379700000.0,-397300000.0
Interest Expense Non Operating,550100000.0,482900000.0,469800000.0,437000000.0
Interest Income Non Operating,81200000.0,97000000.0,90100000.0,39700000.0
Operating Income,5502900000.0,4429700000.0,4657200000.0,1517900000.0
Operating Expense,4343300000.0,3941400000.0,3733800000.0,3541200000.0
Other Operating Expenses,539400000.0,461500000.0,359500000.0,430300000.0
Depreciation Amortization Depletion Income Statement,1362600000.0,1447900000.0,1441700000.0,1431300000.0
Depreciation And Amortization In Income Statement,1362600000.0,1447900000.0,1441700000.0,1431300000.0
Selling General And Administration,2441300000.0,2032000000.0,1932600000.0,1679600000.0
General And Administrative Expense,2441300000.0,2032000000.0,1932600000.0,1679600000.0
Other Gand A,2441300000.0,2032000000.0,1932600000.0,1679600000.0
Gross Profit,9846200000.0,8371100000.0,8391000000.0,5059100000.0
Cost Of Revenue,26129400000.0,23879200000.0,20669600000.0,18458900000.0
Total Revenue,35975600000.0,32250300000.0,29060600000.0,23518000000.0
Operating Revenue,33975000000.0,30231600000.0,27290600000.0,21491700000.0
