,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,2237550.0,11598.454947,62176.801727,0.0
Tax Rate For Calcs,0.21,0.001826,0.003299,0.0
Normalized EBITDA,-623625000.0,-688407000.0,578003000.0,-282440000.0
Total Unusual Items,10655000.0,6351000.0,18849000.0,61895000.0
Total Unusual Items Excluding Goodwill,10655000.0,6351000.0,18849000.0,61895000.0
Net Income From Continuing Operation Net Minority Interest,-610308000.0,-674471000.0,613670000.0,-158650000.0
Reconciled Depreciation,82158000.0,78626000.0,63384000.0,33514000.0
Reconciled Cost Of Revenue,410058000.0,311565000.0,217720000.0,43952000.0
EBITDA,-612970000.0,-682056000.0,596852000.0,-220545000.0
EBIT,-612970000.0,-682056000.0,596852000.0,-220545000.0
Normalized Income,-618725450.0,-680810401.545053,594883176.801727,-220545000.0
Net Income From Continuing And Discontinued Operation,-610308000.0,-674471000.0,613670000.0,-158650000.0
Total Expenses,2575382000.0,2256427000.0,1578684000.0,1137258000.0
Total Operating Income As Reported,-612970000.0,-682056000.0,596852000.0,-220545000.0
Diluted Average Shares,184676000.0,182048000.0,182287000.0,165498000.0
Basic Average Shares,184676000.0,182048000.0,174834000.0,165498000.0
Diluted EPS,-3.3,-3.7,3.37,-0.96
Basic EPS,-3.3,-3.7,3.51,-0.96
Diluted NI Availto Com Stockholders,-610308000.0,-674471000.0,613670000.0,-158650000.0
Net Income Common Stockholders,-610308000.0,-674471000.0,613670000.0,-158650000.0
Net Income,-610308000.0,-674471000.0,613670000.0,-158650000.0
Net Income Including Noncontrolling Interests,-610308000.0,-674471000.0,613670000.0,-158650000.0
Net Income Continuous Operations,-610308000.0,-674471000.0,613670000.0,-158650000.0
Tax Provision,7993000.0,-1234000.0,2031000.0,0.0
Pretax Income,-602315000.0,-675705000.0,615701000.0,-158650000.0
Other Income Expense,10655000.0,6351000.0,18849000.0,61895000.0
Gain On Sale Of Security,10655000.0,6351000.0,18849000.0,61895000.0
Operating Income,-612970000.0,-682056000.0,596852000.0,-220545000.0
Operating Expense,2165324000.0,1944862000.0,1360964000.0,1093306000.0
Research And Development,1344361000.0,1228672000.0,827129000.0,719374000.0
Selling General And Administration,820963000.0,716190000.0,533835000.0,373932000.0
Gross Profit,1552354000.0,1262806000.0,1957816000.0,872761000.0
Cost Of Revenue,410058000.0,311565000.0,217720000.0,43952000.0
Total Revenue,1962412000.0,1574371000.0,2175536000.0,916713000.0
Operating Revenue,1962412000.0,1574371000.0,2175536000.0,916713000.0
