,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-15631152.647975,-14309305.373526,-281880000.0,-33335839.598997
Tax Rate For Calcs,0.244237,0.138925,0.27,0.236424
Normalized EBITDA,2676000000.0,2627000000.0,2430000000.0,2196000000.0
Total Unusual Items,-64000000.0,-103000000.0,-1044000000.0,-141000000.0
Total Unusual Items Excluding Goodwill,-64000000.0,-103000000.0,-1044000000.0,-141000000.0
Net Income From Continuing Operation Net Minority Interest,1213000000.0,1314000000.0,131000000.0,914000000.0
Reconciled Depreciation,585000000.0,583000000.0,562000000.0,468000000.0
Reconciled Cost Of Revenue,4433000000.0,4243000000.0,3885000000.0,3854000000.0
EBITDA,2612000000.0,2524000000.0,1386000000.0,2055000000.0
EBIT,2027000000.0,1941000000.0,824000000.0,1587000000.0
Net Interest Income,-422000000.0,-415000000.0,-394000000.0,-390000000.0
Interest Expense,422000000.0,415000000.0,394000000.0,390000000.0
Normalized Income,1261368847.352025,1402690694.626474,893120000.0,1021664160.401003
Net Income From Continuing And Discontinued Operation,1213000000.0,1314000000.0,131000000.0,914000000.0
Total Expenses,6903000000.0,6661000000.0,6178000000.0,6063000000.0
Total Operating Income As Reported,2036000000.0,2015000000.0,858000000.0,1647000000.0
Diluted Average Shares,3990000000.0,4143000000.0,4429000000.0,4616000000.0
Basic Average Shares,3916000000.0,4062000000.0,4330000000.0,4501000000.0
Diluted EPS,0.31,0.32,0.03,0.2
Basic EPS,0.31,0.32,0.03,0.2
Diluted NI Availto Com Stockholders,1213000000.0,1314000000.0,131000000.0,914000000.0
Average Dilution Earnings,4000000.0,8000000.0,8000000.0,7000000.0
Net Income Common Stockholders,1213000000.0,1314000000.0,131000000.0,914000000.0
Otherunder Preferred Stock Dividend,-4000000.0,,,
Net Income,1213000000.0,1314000000.0,131000000.0,914000000.0
Net Income Including Noncontrolling Interests,1213000000.0,1314000000.0,131000000.0,914000000.0
Net Income Continuous Operations,1213000000.0,1314000000.0,131000000.0,914000000.0
Tax Provision,392000000.0,212000000.0,299000000.0,283000000.0
Pretax Income,1605000000.0,1526000000.0,430000000.0,1197000000.0
Other Income Expense,-73000000.0,-94000000.0,-1038000000.0,-144000000.0
Other Non Operating Income Expenses,-9000000.0,9000000.0,6000000.0,-3000000.0
Special Income Charges,-64000000.0,-103000000.0,-1044000000.0,-141000000.0
Other Special Charges,,83000000.0,40000000.0,57000000.0
Impairment Of Capital Assets,64000000.0,20000000.0,976000000.0,
Restructuring And Mergern Acquisition,,,28000000.0,84000000.0
Net Non Operating Interest Income Expense,-422000000.0,-415000000.0,-394000000.0,-390000000.0
Interest Expense Non Operating,422000000.0,415000000.0,394000000.0,390000000.0
Operating Income,2100000000.0,2035000000.0,1862000000.0,1731000000.0
Operating Expense,2421000000.0,2368000000.0,2237000000.0,2209000000.0
Other Operating Expenses,,325000000.0,362000000.0,427000000.0
Depreciation Amortization Depletion Income Statement,536000000.0,533000000.0,506000000.0,468000000.0
Depreciation And Amortization In Income Statement,536000000.0,533000000.0,506000000.0,468000000.0
Research And Development,285000000.0,265000000.0,263000000.0,280000000.0
Selling General And Administration,1600000000.0,1570000000.0,1468000000.0,1461000000.0
Selling And Marketing Expense,1075000000.0,1056000000.0,957000000.0,937000000.0
General And Administrative Expense,525000000.0,514000000.0,511000000.0,524000000.0
Other Gand A,525000000.0,514000000.0,511000000.0,524000000.0
Gross Profit,4521000000.0,4403000000.0,4099000000.0,3940000000.0
Cost Of Revenue,4482000000.0,4293000000.0,3941000000.0,3854000000.0
Total Revenue,9003000000.0,8696000000.0,8040000000.0,7794000000.0
Operating Revenue,8853000000.0,8545000000.0,7885000000.0,7629000000.0
