,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-220066000.0,-444790000.0,-419103000.0,-199201000.0
Total Unusual Items,,-431529000.0,-620201000.0,-340325000.0
Total Unusual Items Excluding Goodwill,,-431529000.0,-620201000.0,-340325000.0
Net Income From Continuing Operation Net Minority Interest,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Reconciled Depreciation,60923000.0,93958000.0,92848000.0,97398000.0
Reconciled Cost Of Revenue,633765000.0,465707000.0,336021000.0,268807000.0
EBITDA,-220066000.0,-444790000.0,-419103000.0,-199201000.0
EBIT,-280989000.0,-538748000.0,-511951000.0,-296599000.0
Net Interest Income,19585000.0,-23527000.0,-115539000.0,-21809000.0
Interest Expense,30147000.0,25824000.0,122713000.0,49610000.0
Interest Income,49732000.0,2297000.0,7174000.0,27801000.0
Normalized Income,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Net Income From Continuing And Discontinued Operation,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Total Expenses,3879869000.0,2909339000.0,1987498000.0,1600087000.0
Total Operating Income As Reported,-345222000.0,-106457000.0,101634000.0,14086000.0
Diluted Average Shares,256307000.0,253312000.0,249679000.0,244844000.0
Basic Average Shares,256307000.0,253312000.0,249679000.0,244844000.0
Diluted EPS,-1.9,-2.05,-2.32,-1.43
Basic EPS,-1.9,-2.05,-2.32,-1.43
Diluted NI Availto Com Stockholders,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Net Income Common Stockholders,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Net Income,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Net Income Including Noncontrolling Interests,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Net Income Continuous Operations,-486761000.0,-614124000.0,-696315000.0,-350654000.0
Tax Provision,175625000.0,49552000.0,61651000.0,4445000.0
Pretax Income,-311136000.0,-564572000.0,-634664000.0,-346209000.0
Other Income Expense,14501000.0,-434588000.0,-620759000.0,-338486000.0
Other Non Operating Income Expenses,14501000.0,-434588000.0,-620759000.0,-338486000.0
Special Income Charges,,-9742000.0,-7809000.0,-5282000.0
Other Special Charges,,9742000.0,7809000.0,5282000.0
Gain On Sale Of Security,,-421787000.0,-612392000.0,-335043000.0
Net Non Operating Interest Income Expense,19585000.0,-23527000.0,-115539000.0,-21809000.0
Interest Expense Non Operating,30147000.0,25824000.0,122713000.0,49610000.0
Interest Income Non Operating,49732000.0,2297000.0,7174000.0,27801000.0
Operating Income,-345222000.0,-106457000.0,101634000.0,14086000.0
Operating Expense,3246104000.0,2443632000.0,1651477000.0,1331280000.0
Research And Development,1869881000.0,1397568000.0,963326000.0,763188000.0
Selling General And Administration,1376223000.0,1046064000.0,688151000.0,568092000.0
Selling And Marketing Expense,769861000.0,567691000.0,372909000.0,299683000.0
General And Administrative Expense,606362000.0,478373000.0,315242000.0,268409000.0
Other Gand A,606362000.0,478373000.0,315242000.0,268409000.0
Salaries And Wages,279873000.0,,,
Gross Profit,2900882000.0,2337175000.0,1753111000.0,1345366000.0
Cost Of Revenue,633765000.0,465707000.0,336021000.0,268807000.0
Total Revenue,3534647000.0,2802882000.0,2089132000.0,1614173000.0
Operating Revenue,3322314000.0,2591783000.0,1931841000.0,1495967000.0
