,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-276409408.773045,0.0,-93073087.818697,0.0
Tax Rate For Calcs,0.176732,0.097583,0.222663,0.246578
Normalized EBITDA,21725000000.0,23096000000.0,20829000000.0,12354000000.0
Total Unusual Items,-1564000000.0,0.0,-418000000.0,
Total Unusual Items Excluding Goodwill,-1564000000.0,0.0,-418000000.0,
Net Income From Continuing Operation Net Minority Interest,2590000000.0,3024000000.0,2744000000.0,3468000000.0
Reconciled Depreciation,13651000000.0,16383000000.0,14151000000.0,6616000000.0
Reconciled Cost Of Revenue,36206000000.0,36605000000.0,28266000000.0,18521000000.0
EBITDA,20161000000.0,23096000000.0,20411000000.0,12354000000.0
EBIT,6510000000.0,6713000000.0,6260000000.0,5738000000.0
Net Interest Income,-3364000000.0,-3342000000.0,-2701000000.0,-1111000000.0
Interest Expense,3364000000.0,3362000000.0,2730000000.0,1135000000.0
Interest Income,,20000000.0,29000000.0,24000000.0
Normalized Income,3877590591.226955,3024000000.0,3068926912.181303,3468000000.0
Net Income From Continuing And Discontinued Operation,2590000000.0,3024000000.0,3064000000.0,3468000000.0
Total Expenses,71464000000.0,73226000000.0,61343000000.0,39276000000.0
Total Operating Income As Reported,6543000000.0,6892000000.0,6636000000.0,5722000000.0
Diluted Average Shares,1255376769.0,1254769926.0,1154749428.0,863433511.0
Basic Average Shares,1249763934.0,1247154988.0,1144206326.0,854143751.0
Diluted EPS,2.06,2.41,2.65,4.02
Basic EPS,2.07,2.42,2.68,4.06
Diluted NI Availto Com Stockholders,2590000000.0,3024000000.0,3064000000.0,3468000000.0
Net Income Common Stockholders,2590000000.0,3024000000.0,3064000000.0,3468000000.0
Net Income,2590000000.0,3024000000.0,3064000000.0,3468000000.0
Net Income Including Noncontrolling Interests,2590000000.0,3024000000.0,3064000000.0,3468000000.0
Net Income Discontinuous Operations,0.0,0.0,320000000.0,
Net Income Continuous Operations,2590000000.0,3024000000.0,2744000000.0,3468000000.0
Tax Provision,556000000.0,327000000.0,786000000.0,1135000000.0
Pretax Income,3146000000.0,3351000000.0,3530000000.0,4603000000.0
Other Income Expense,-1597000000.0,-199000000.0,-823000000.0,-8000000.0
Other Non Operating Income Expenses,-33000000.0,-199000000.0,-405000000.0,-8000000.0
Special Income Charges,-1564000000.0,0.0,-418000000.0,
Gain On Sale Of Business,-1087000000.0,,,
Write Off,477000000.0,,418000000.0,
Impairment Of Capital Assets,,0.0,418000000.0,
Net Non Operating Interest Income Expense,-3364000000.0,-3342000000.0,-2701000000.0,-1111000000.0
Interest Expense Non Operating,3364000000.0,3362000000.0,2730000000.0,1135000000.0
Interest Income Non Operating,,20000000.0,29000000.0,24000000.0
Operating Income,8107000000.0,6892000000.0,7054000000.0,5722000000.0
Operating Expense,35258000000.0,36621000000.0,33077000000.0,20755000000.0
Depreciation Amortization Depletion Income Statement,13651000000.0,16383000000.0,14151000000.0,6616000000.0
Depreciation And Amortization In Income Statement,13651000000.0,16383000000.0,14151000000.0,6616000000.0
Selling General And Administration,21607000000.0,20238000000.0,18926000000.0,14139000000.0
Gross Profit,43365000000.0,43513000000.0,40131000000.0,26477000000.0
Cost Of Revenue,36206000000.0,36605000000.0,28266000000.0,18521000000.0
Total Revenue,79571000000.0,80118000000.0,68397000000.0,44998000000.0
Operating Revenue,78453000000.0,79096000000.0,67707000000.0,43834000000.0
