,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-14080000.0,2970000.0,0.0,-40230000.0
Tax Rate For Calcs,0.08,0.11,0.25,0.27
Normalized EBITDA,17833000000.0,9598000000.0,4224000000.0,2323000000.0
Total Unusual Items,-176000000.0,27000000.0,0.0,-149000000.0
Total Unusual Items Excluding Goodwill,-176000000.0,27000000.0,0.0,-149000000.0
Net Income From Continuing Operation Net Minority Interest,12583000000.0,5519000000.0,690000000.0,-862000000.0
Reconciled Depreciation,3747000000.0,2911000000.0,2322000000.0,2154000000.0
Reconciled Cost Of Revenue,60609000000.0,40217000000.0,24906000000.0,20509000000.0
EBITDA,17657000000.0,9625000000.0,4224000000.0,2174000000.0
EBIT,13910000000.0,6714000000.0,1902000000.0,20000000.0
Net Interest Income,106000000.0,-315000000.0,-718000000.0,-641000000.0
Interest Expense,191000000.0,371000000.0,748000000.0,685000000.0
Interest Income,297000000.0,56000000.0,30000000.0,44000000.0
Normalized Income,12744920000.0,5494970000.0,690000000.0,-753230000.0
Net Income From Continuing And Discontinued Operation,12583000000.0,5519000000.0,690000000.0,-862000000.0
Total Expenses,67630000000.0,47327000000.0,29542000000.0,24498000000.0
Total Operating Income As Reported,13656000000.0,-6523000000.0,1994000000.0,-69000000.0
Diluted Average Shares,3475000000.0,3387000000.0,3249000000.0,2661000000.0
Basic Average Shares,3130000000.0,2958000000.0,2799000000.0,2661000000.0
Diluted EPS,3.62,1.633333,0.213333,-0.326667
Basic EPS,4.02,1.866667,0.246667,-0.326667
Diluted NI Availto Com Stockholders,12584000000.0,5519000000.0,690000000.0,-862000000.0
Average Dilution Earnings,1000000.0,,,
Net Income Common Stockholders,12583000000.0,5519000000.0,690000000.0,-862000000.0
Net Income,12583000000.0,5519000000.0,690000000.0,-862000000.0
Minority Interests,-4000000.0,-125000000.0,-172000000.0,-87000000.0
Net Income Including Noncontrolling Interests,12587000000.0,5644000000.0,862000000.0,-775000000.0
Net Income Continuous Operations,12587000000.0,5644000000.0,862000000.0,-775000000.0
Tax Provision,1132000000.0,699000000.0,292000000.0,110000000.0
Pretax Income,13719000000.0,6343000000.0,1154000000.0,-665000000.0
Other Income Expense,-219000000.0,162000000.0,-122000000.0,-104000000.0
Other Non Operating Income Expenses,-43000000.0,135000000.0,-122000000.0,45000000.0
Special Income Charges,-176000000.0,27000000.0,0.0,-149000000.0
Restructuring And Mergern Acquisition,176000000.0,-27000000.0,0.0,149000000.0
Net Non Operating Interest Income Expense,106000000.0,-315000000.0,-718000000.0,-641000000.0
Interest Expense Non Operating,191000000.0,371000000.0,748000000.0,685000000.0
Interest Income Non Operating,297000000.0,56000000.0,30000000.0,44000000.0
Operating Income,13832000000.0,6496000000.0,1994000000.0,80000000.0
Operating Expense,7021000000.0,7110000000.0,4636000000.0,3989000000.0
Research And Development,3075000000.0,2593000000.0,1491000000.0,1343000000.0
Selling General And Administration,3946000000.0,4517000000.0,3145000000.0,2646000000.0
Gross Profit,20853000000.0,13606000000.0,6630000000.0,4069000000.0
Cost Of Revenue,60609000000.0,40217000000.0,24906000000.0,20509000000.0
Total Revenue,81462000000.0,53823000000.0,31536000000.0,24578000000.0
Operating Revenue,81462000000.0,53823000000.0,31536000000.0,24578000000.0
