,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.27,0.27,0.067992
Normalized EBITDA,168079000.0,167036000.0,172840000.0,133858000.0
Total Unusual Items,961000.0,-1751000.0,-961000.0,-695000.0
Total Unusual Items Excluding Goodwill,961000.0,-1751000.0,-961000.0,-695000.0
Net Income From Continuing Operation Net Minority Interest,53385000.0,137762000.0,242317000.0,108318000.0
Reconciled Depreciation,54425000.0,42219000.0,28632000.0,21662000.0
Reconciled Cost Of Revenue,281123000.0,221554000.0,178812000.0,156180000.0
EBITDA,168079000.0,167036000.0,172840000.0,133858000.0
EBIT,113654000.0,124817000.0,144208000.0,112196000.0
Net Interest Income,12755000.0,-1030000.0,656000.0,4719000.0
Interest Income,,,656000.0,
Normalized Income,53385000.0,137762000.0,242317000.0,108318000.0
Net Income From Continuing And Discontinued Operation,53385000.0,137762000.0,242317000.0,108318000.0
Total Expenses,1464141000.0,1071650000.0,691825000.0,548862000.0
Total Operating Income As Reported,113654000.0,124817000.0,144208000.0,112196000.0
Diluted Average Shares,499925000.0,498540000.0,489881000.0,478061000.0
Basic Average Shares,486937000.0,476851000.0,462865000.0,445329000.0
Diluted EPS,0.11,0.28,0.49,0.23
Basic EPS,0.11,0.29,0.52,0.24
Diluted NI Availto Com Stockholders,53385000.0,137762000.0,242317000.0,108318000.0
Net Income Common Stockholders,53385000.0,137762000.0,242317000.0,108318000.0
Net Income,53385000.0,137762000.0,242317000.0,108318000.0
Net Income Including Noncontrolling Interests,53385000.0,137762000.0,242317000.0,108318000.0
Net Income Continuous Operations,53385000.0,137762000.0,242317000.0,108318000.0
Tax Provision,73985000.0,-15726000.0,-98414000.0,7902000.0
Pretax Income,127370000.0,122036000.0,143903000.0,116220000.0
Other Income Expense,13716000.0,-2781000.0,-305000.0,-695000.0
Other Non Operating Income Expenses,13716000.0,-2781000.0,-305000.0,
Gain On Sale Of Security,961000.0,-1751000.0,-961000.0,-695000.0
Net Non Operating Interest Income Expense,12755000.0,-1030000.0,656000.0,4719000.0
Total Other Finance Cost,-12755000.0,1030000.0,,-4719000.0
Interest Income Non Operating,,,656000.0,
Operating Income,113654000.0,124817000.0,144208000.0,112196000.0
Operating Expense,1183018000.0,850096000.0,513013000.0,392682000.0
Research And Development,319876000.0,226137000.0,166654000.0,116752000.0
Selling General And Administration,863142000.0,623959000.0,346359000.0,275930000.0
Selling And Marketing Expense,337975000.0,249298000.0,174742000.0,132882000.0
General And Administrative Expense,525167000.0,374661000.0,171617000.0,143048000.0
Other Gand A,525167000.0,374661000.0,171617000.0,143048000.0
Gross Profit,1296672000.0,974913000.0,657221000.0,504878000.0
Cost Of Revenue,281123000.0,221554000.0,178812000.0,156180000.0
Total Revenue,1577795000.0,1196467000.0,836033000.0,661058000.0
Operating Revenue,1577795000.0,1196467000.0,836033000.0,661058000.0
