,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-32867922.647528,-25271891.467653,-15569885.324913,-30240000.0
Tax Rate For Calcs,0.127891,0.128938,0.070135,0.12
Normalized EBITDA,11482000000.0,10253000000.0,7421000000.0,7200000000.0
Total Unusual Items,-257000000.0,-196000000.0,-222000000.0,-252000000.0
Total Unusual Items Excluding Goodwill,-257000000.0,-196000000.0,-222000000.0,-252000000.0
Net Income From Continuing Operation Net Minority Interest,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Reconciled Depreciation,979000000.0,954000000.0,992000000.0,1050000000.0
Reconciled Cost Of Revenue,6257000000.0,5968000000.0,5192000000.0,5219000000.0
EBITDA,11225000000.0,10057000000.0,7199000000.0,6948000000.0
EBIT,10246000000.0,9103000000.0,6207000000.0,5898000000.0
Net Interest Income,-214000000.0,-184000000.0,-190000000.0,-170000000.0
Interest Expense,214000000.0,184000000.0,190000000.0,170000000.0
Normalized Income,8973132077.352472,7939728108.532347,5801430114.675087,5238760000.0
Net Income From Continuing And Discontinued Operation,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Total Expenses,9631000000.0,9188000000.0,8345000000.0,8408000000.0
Total Operating Income As Reported,10140000000.0,8960000000.0,5894000000.0,5723000000.0
Diluted Average Shares,926000000.0,936000000.0,933000000.0,952000000.0
Basic Average Shares,916000000.0,923000000.0,921000000.0,936000000.0
Diluted EPS,9.41,8.26,5.97,5.24
Basic EPS,9.51,8.417118,6.074919,5.360043
Diluted NI Availto Com Stockholders,8710000000.0,7736000000.0,5568000000.0,4986000000.0
Average Dilution Earnings,-39000000.0,-33000000.0,-27000000.0,-31000000.0
Net Income Common Stockholders,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Otherunder Preferred Stock Dividend,40000000.0,33000000.0,,
Net Income,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Net Income Including Noncontrolling Interests,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Net Income Continuous Operations,8749000000.0,7769000000.0,5595000000.0,5017000000.0
Tax Provision,1283000000.0,1150000000.0,422000000.0,711000000.0
Pretax Income,10032000000.0,8919000000.0,6017000000.0,5728000000.0
Other Income Expense,-151000000.0,-53000000.0,91000000.0,-77000000.0
Other Non Operating Income Expenses,106000000.0,143000000.0,313000000.0,175000000.0
Special Income Charges,-257000000.0,-196000000.0,-222000000.0,-252000000.0
Gain On Sale Of Ppe,0.0,50000000.0,1000000.0,21000000.0
Restructuring And Mergern Acquisition,257000000.0,196000000.0,222000000.0,252000000.0
Net Non Operating Interest Income Expense,-214000000.0,-184000000.0,-190000000.0,-170000000.0
Interest Expense Non Operating,214000000.0,184000000.0,190000000.0,170000000.0
Operating Income,10397000000.0,9156000000.0,6116000000.0,5975000000.0
Operating Expense,3374000000.0,3220000000.0,3153000000.0,3189000000.0
Research And Development,1670000000.0,1554000000.0,1530000000.0,1544000000.0
Selling General And Administration,1704000000.0,1666000000.0,1623000000.0,1645000000.0
Gross Profit,13771000000.0,12376000000.0,9269000000.0,9164000000.0
Cost Of Revenue,6257000000.0,5968000000.0,5192000000.0,5219000000.0
Total Revenue,20028000000.0,18344000000.0,14461000000.0,14383000000.0
Operating Revenue,20028000000.0,18344000000.0,14461000000.0,14383000000.0
