,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-924897.021546,453838.245374,-494400.0,-354415.904293
Tax Rate For Calcs,0.174509,0.238862,0.206,0.20848
Normalized EBITDA,1746500000.0,1384100000.0,1396200000.0,1020600000.0
Total Unusual Items,-5300000.0,1900000.0,-2400000.0,-1700000.0
Total Unusual Items Excluding Goodwill,-5300000.0,1900000.0,-2400000.0,-1700000.0
Net Income From Continuing Operation Net Minority Interest,1041700000.0,666200000.0,712700000.0,449900000.0
Reconciled Depreciation,340000000.0,383600000.0,358100000.0,323700000.0
Reconciled Cost Of Revenue,723200000.0,1057800000.0,993900000.0,976800000.0
EBITDA,1741200000.0,1386000000.0,1393800000.0,1018900000.0
EBIT,1401200000.0,1002400000.0,1035700000.0,695200000.0
Net Interest Income,-138800000.0,-127000000.0,-138200000.0,-126800000.0
Interest Expense,138800000.0,127000000.0,138200000.0,126800000.0
Normalized Income,1046075102.978454,664753838.245374,714605600.0,451245584.095707
Net Income From Continuing And Discontinued Operation,953900000.0,666200000.0,712700000.0,449900000.0
Total Expenses,1090500000.0,1998100000.0,1746500000.0,1910200000.0
Total Operating Income As Reported,1406500000.0,1000500000.0,1038100000.0,696900000.0
Diluted Average Shares,158928942.0,163338912.0,165320709.0,166560118.0
Basic Average Shares,157905718.0,161841444.0,162610586.0,163535441.0
Diluted EPS,6.0,4.08,4.31,2.7
Basic EPS,6.04,4.12,4.38,2.75
Diluted NI Availto Com Stockholders,953900000.0,666200000.0,712700000.0,449900000.0
Net Income Common Stockholders,953900000.0,666200000.0,712700000.0,449900000.0
Net Income,953900000.0,666200000.0,712700000.0,449900000.0
Minority Interests,-400000.0,100000.0,,
Net Income Including Noncontrolling Interests,954300000.0,666300000.0,712700000.0,449900000.0
Net Income Discontinuous Operations,-87800000.0,,,
Net Income Continuous Operations,1042100000.0,666300000.0,712700000.0,449900000.0
Tax Provision,220300000.0,209100000.0,184800000.0,118500000.0
Pretax Income,1262400000.0,875400000.0,897500000.0,568400000.0
Other Income Expense,-5300000.0,1900000.0,-2400000.0,-1700000.0
Special Income Charges,354200000.0,-134000000.0,,
Gain On Sale Of Business,354200000.0,,,
Impairment Of Capital Assets,,134000000.0,,
Gain On Sale Of Security,-5300000.0,1900000.0,-2400000.0,-1700000.0
Net Non Operating Interest Income Expense,-138800000.0,-127000000.0,-138200000.0,-126800000.0
Interest Expense Non Operating,138800000.0,127000000.0,138200000.0,126800000.0
Operating Income,1406500000.0,1000500000.0,1038100000.0,696900000.0
Operating Expense,265900000.0,940300000.0,752600000.0,933400000.0
Other Operating Expenses,-354200000.0,134000000.0,-19400000.0,6200000.0
Depreciation Amortization Depletion Income Statement,238600000.0,383600000.0,358100000.0,323700000.0
Depreciation And Amortization In Income Statement,238600000.0,383600000.0,358100000.0,323700000.0
Amortization,74400000.0,176700000.0,165900000.0,138000000.0
Amortization Of Intangibles Income Statement,74400000.0,176700000.0,165900000.0,138000000.0
Depreciation Income Statement,164200000.0,206900000.0,192200000.0,185700000.0
Selling General And Administration,381500000.0,422700000.0,413900000.0,603500000.0
Gross Profit,1672400000.0,1940800000.0,1790700000.0,1630300000.0
Cost Of Revenue,824600000.0,1057800000.0,993900000.0,976800000.0
Total Revenue,2497000000.0,2998600000.0,2784600000.0,2607100000.0
Operating Revenue,2497000000.0,2998600000.0,2784600000.0,2607100000.0
