,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-12470000.0,434000.0,-1703000.0,-713440.0
Tax Rate For Calcs,0.215,0.14,0.13,0.16
Normalized EBITDA,4345200000.0,2788800000.0,3188049000.0,1457880000.0
Total Unusual Items,-58000000.0,3100000.0,-13100000.0,-4459000.0
Total Unusual Items Excluding Goodwill,-58000000.0,3100000.0,-13100000.0,-4459000.0
Net Income From Continuing Operation Net Minority Interest,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Reconciled Depreciation,148300000.0,125600000.0,109515000.0,106941000.0
Reconciled Cost Of Revenue,1080300000.0,904200000.0,736300000.0,547758000.0
EBITDA,4287200000.0,2791900000.0,3174949000.0,1453421000.0
EBIT,4287200000.0,2791900000.0,3174949000.0,1453421000.0
Net Interest Income,89800000.0,-56600000.0,-35912000.0,5176000.0
Interest Expense,54800000.0,61500000.0,58151000.0,58502000.0
Interest Income,144600000.0,4900000.0,22239000.0,63678000.0
Normalized Income,3367530000.0,2339434000.0,2723044000.0,1180555560.0
Net Income From Continuing And Discontinued Operation,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Total Expenses,4565300000.0,4795400000.0,3336293000.0,2960796000.0
Total Operating Income As Reported,4307400000.0,2782100000.0,2856290000.0,1197566000.0
Diluted Average Shares,259100000.0,259900000.0,263396000.0,260673000.0
Basic Average Shares,256100000.0,257700000.0,259841000.0,256728000.0
Diluted EPS,12.82,9.01,10.29,4.51
Basic EPS,12.97,9.09,10.44,4.58
Diluted NI Availto Com Stockholders,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Average Dilution Earnings,,,0.0,0.0
Net Income Common Stockholders,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Net Income Continuous Operations,3322000000.0,2342100000.0,2711647000.0,1176810000.0
Tax Provision,910400000.0,388300000.0,405151000.0,218109000.0
Pretax Income,4232400000.0,2730400000.0,3116798000.0,1394919000.0
Other Income Expense,-222800000.0,8000000.0,283320000.0,187718000.0
Other Non Operating Income Expenses,-164800000.0,4900000.0,296420000.0,192177000.0
Special Income Charges,-58000000.0,3100000.0,-13100000.0,-4459000.0
Other Special Charges,115500000.0,,,
Impairment Of Capital Assets,,,0.0,0.0
Restructuring And Mergern Acquisition,-57500000.0,-3100000.0,13100000.0,4459000.0
Net Non Operating Interest Income Expense,89800000.0,-56600000.0,-35912000.0,5176000.0
Interest Expense Non Operating,54800000.0,61500000.0,58151000.0,58502000.0
Interest Income Non Operating,144600000.0,4900000.0,22239000.0,63678000.0
Operating Income,4365400000.0,2779000000.0,2869390000.0,1202025000.0
Operating Expense,3485000000.0,3891200000.0,2599993000.0,2413038000.0
Research And Development,2540300000.0,3051100000.0,1829537000.0,1754540000.0
Selling General And Administration,944700000.0,840100000.0,770456000.0,658498000.0
Gross Profit,7850400000.0,6670200000.0,5469383000.0,3615063000.0
Cost Of Revenue,1080300000.0,904200000.0,736300000.0,547758000.0
Total Revenue,8930700000.0,7574400000.0,6205683000.0,4162821000.0
Operating Revenue,8930700000.0,7573400000.0,6205683000.0,4162821000.0
