,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.342868,0.008,0.334,0.27
Normalized EBITDA,-2582000000.0,6375000000.0,5454000000.0,3309000000.0
Net Income From Continuing Operation Net Minority Interest,-3080000000.0,4337000000.0,1985000000.0,456000000.0
Reconciled Depreciation,2257000000.0,1990000000.0,1973000000.0,1927000000.0
Reconciled Cost Of Revenue,112009000000.0,104437000000.0,104442000000.0,111520000000.0
EBITDA,-2582000000.0,6375000000.0,5454000000.0,3309000000.0
EBIT,-4839000000.0,4385000000.0,3481000000.0,1382000000.0
Net Interest Income,-580000000.0,-400000000.0,-905000000.0,-639000000.0
Interest Expense,580000000.0,400000000.0,905000000.0,639000000.0
Normalized Income,-3080000000.0,4337000000.0,1985000000.0,456000000.0
Net Income From Continuing And Discontinued Operation,-3080000000.0,4337000000.0,2542000000.0,456000000.0
Total Expenses,146214000000.0,131732000000.0,129028000000.0,138565000000.0
Total Operating Income As Reported,-6882000000.0,1387000000.0,2342000000.0,1312000000.0
Diluted Average Shares,,865900000.0,866400000.0,880300000.0
Basic Average Shares,,864400000.0,864800000.0,879400000.0
Diluted EPS,,5.01,2.93,0.52
Basic EPS,,5.02,2.94,0.52
Diluted NI Availto Com Stockholders,-3080000000.0,4337000000.0,2542000000.0,456000000.0
Net Income Common Stockholders,-3080000000.0,4337000000.0,2542000000.0,456000000.0
Net Income,-3080000000.0,4337000000.0,2542000000.0,456000000.0
Minority Interests,448000000.0,271000000.0,30000000.0,32000000.0
Net Income Including Noncontrolling Interests,-3528000000.0,4065000000.0,2512000000.0,424000000.0
Net Income Discontinuous Operations,0.0,0.0,557000000.0,
Net Income Continuous Operations,-3528000000.0,4065000000.0,1955000000.0,424000000.0
Earnings From Equity Interest Net Of Tax,33000000.0,50000000.0,627000000.0,41000000.0
Tax Provision,-1858000000.0,-30000000.0,667000000.0,360000000.0
Pretax Income,-5419000000.0,3985000000.0,1995000000.0,743000000.0
Other Income Expense,2295000000.0,3416000000.0,-581000000.0,411000000.0
Other Non Operating Income Expenses,2043000000.0,2998000000.0,558000000.0,70000000.0
Earnings From Equity Interest,252000000.0,418000000.0,-1139000000.0,341000000.0
Net Non Operating Interest Income Expense,-580000000.0,-400000000.0,-905000000.0,-639000000.0
Total Other Finance Cost,,,905000000.0,
Interest Expense Non Operating,580000000.0,400000000.0,905000000.0,639000000.0
Operating Income,-7133000000.0,970000000.0,3481000000.0,972000000.0
Operating Expense,34205000000.0,27295000000.0,24586000000.0,27045000000.0
Selling General And Administration,34205000000.0,27295000000.0,24586000000.0,27045000000.0
Gross Profit,27072000000.0,28265000000.0,28067000000.0,28017000000.0
Cost Of Revenue,112009000000.0,104437000000.0,104442000000.0,111520000000.0
Total Revenue,139081000000.0,132703000000.0,132509000000.0,139537000000.0
Operating Revenue,139081000000.0,132703000000.0,132509000000.0,139537000000.0
