,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-684190000.0,4775994.417306,-62814236.111111,-7379686.137751
Tax Rate For Calcs,0.19,0.164689,0.215856,0.03531
Normalized EBITDA,17772000000.0,7120000000.0,6982000000.0,7380000000.0
Total Unusual Items,-3601000000.0,29000000.0,-291000000.0,-209000000.0
Total Unusual Items Excluding Goodwill,-3601000000.0,29000000.0,-291000000.0,-209000000.0
Net Income From Continuing Operation Net Minority Interest,-7371000000.0,1006000000.0,1219000000.0,2069000000.0
Reconciled Depreciation,21354000000.0,5083000000.0,4315000000.0,4200000000.0
Reconciled Cost Of Revenue,6281000000.0,1119000000.0,904000000.0,966000000.0
EBITDA,14171000000.0,7149000000.0,6691000000.0,7171000000.0
EBIT,-7183000000.0,2066000000.0,2376000000.0,2971000000.0
Net Interest Income,-1777000000.0,-633000000.0,-648000000.0,-677000000.0
Interest Expense,1777000000.0,633000000.0,648000000.0,677000000.0
Interest Income,,18000000.0,10000000.0,22000000.0
Normalized Income,-4454190000.0,981775994.417306,1447185763.888889,2270620313.862249
Net Income From Continuing And Discontinued Operation,-7371000000.0,1006000000.0,1219000000.0,2069000000.0
Total Expenses,37313000000.0,10218000000.0,7941000000.0,7954000000.0
Total Operating Income As Reported,-7370000000.0,2012000000.0,2515000000.0,3009000000.0
Diluted Average Shares,1940000000.0,664000000.0,672000000.0,711000000.0
Basic Average Shares,1940000000.0,503000000.0,505000000.0,529000000.0
Diluted EPS,-3.82,1.54,1.81,2.88
Basic EPS,-3.82,1.55,1.82,2.9
Diluted NI Availto Com Stockholders,-7420000000.0,1006000000.0,1219000000.0,2069000000.0
Average Dilution Earnings,0.0,,,518000000.0
Net Income Common Stockholders,-7420000000.0,1006000000.0,1219000000.0,2069000000.0
Otherunder Preferred Stock Dividend,0.0,,,20000000.0
Preferred Stock Dividends,49000000.0,,,518000000.0
Net Income,-7371000000.0,1006000000.0,1219000000.0,2069000000.0
Minority Interests,-74000000.0,-191000000.0,-136000000.0,-144000000.0
Net Income Including Noncontrolling Interests,-7297000000.0,1197000000.0,1355000000.0,2213000000.0
Net Income Continuous Operations,-7297000000.0,1197000000.0,1355000000.0,2213000000.0
Tax Provision,-1663000000.0,236000000.0,373000000.0,81000000.0
Pretax Income,-8960000000.0,1433000000.0,1728000000.0,2294000000.0
Other Income Expense,-3687000000.0,93000000.0,-354000000.0,-219000000.0
Other Non Operating Income Expenses,74000000.0,82000000.0,42000000.0,-8000000.0
Special Income Charges,-3679000000.0,29000000.0,-291000000.0,-209000000.0
Gain On Sale Of Ppe,,,,13000000.0
Gain On Sale Of Business,195000000.0,71000000.0,2000000.0,0.0
Other Special Charges,,10000000.0,76000000.0,28000000.0
Impairment Of Capital Assets,117000000.0,0.0,124000000.0,155000000.0
Restructuring And Mergern Acquisition,3757000000.0,32000000.0,91000000.0,26000000.0
Earnings From Equity Interest,-160000000.0,-18000000.0,-105000000.0,-2000000.0
Gain On Sale Of Security,78000000.0,56000000.0,43000000.0,-61000000.0
Net Non Operating Interest Income Expense,-1777000000.0,-633000000.0,-648000000.0,-677000000.0
Interest Expense Non Operating,1777000000.0,633000000.0,648000000.0,677000000.0
Interest Income Non Operating,,18000000.0,10000000.0,22000000.0
Operating Income,-3496000000.0,1973000000.0,2730000000.0,3190000000.0
Operating Expense,16871000000.0,5598000000.0,4081000000.0,4135000000.0
Depreciation Amortization Depletion Income Statement,7193000000.0,1582000000.0,1359000000.0,1347000000.0
Depreciation And Amortization In Income Statement,7193000000.0,1582000000.0,1359000000.0,1347000000.0
Selling General And Administration,9678000000.0,4016000000.0,2722000000.0,2788000000.0
Gross Profit,13375000000.0,7571000000.0,6811000000.0,7325000000.0
Cost Of Revenue,20442000000.0,4620000000.0,3860000000.0,3819000000.0
Total Revenue,33817000000.0,12191000000.0,10671000000.0,11144000000.0
Operating Revenue,33026000000.0,11624000000.0,10449000000.0,10879000000.0
