,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.003675
Normalized EBITDA,142157000.0,227273000.0,45058000.0,-225952000.0
Net Income From Continuing Operation Net Minority Interest,-366749000.0,29373000.0,-282431000.0,-480674000.0
Reconciled Depreciation,364357000.0,343723000.0,293657000.0,276278000.0
Reconciled Cost Of Revenue,1715178000.0,1428095000.0,1198132000.0,1065258000.0
EBITDA,142157000.0,227273000.0,45058000.0,-225952000.0
EBIT,-222200000.0,-116450000.0,-248599000.0,-502230000.0
Net Interest Income,-4644000.0,-11027000.0,-50018000.0,-17417000.0
Interest Expense,102353000.0,16602000.0,68806000.0,58685000.0
Interest Income,97709000.0,5575000.0,18788000.0,41268000.0
Normalized Income,-366749000.0,29373000.0,-282431000.0,-480674000.0
Net Income From Continuing And Discontinued Operation,-366749000.0,29373000.0,-282431000.0,-480674000.0
Total Expenses,6438018000.0,5255248000.0,4566595000.0,4129436000.0
Total Operating Income As Reported,-222200000.0,-116450000.0,-248599000.0,-502230000.0
Diluted Average Shares,254819000.0,254032000.0,237019000.0,227185000.0
Basic Average Shares,254819000.0,247249000.0,237019000.0,227185000.0
Diluted EPS,-1.44,0.12,-1.19,-2.12
Basic EPS,-1.44,0.12,-1.19,-2.12
Diluted NI Availto Com Stockholders,-366749000.0,29373000.0,-282431000.0,-480674000.0
Net Income Common Stockholders,-366749000.0,29373000.0,-282431000.0,-480674000.0
Net Income,-366749000.0,29373000.0,-282431000.0,-480674000.0
Net Income Including Noncontrolling Interests,-366749000.0,29373000.0,-282431000.0,-480674000.0
Net Income Continuous Operations,-366749000.0,29373000.0,-282431000.0,-480674000.0
Tax Provision,106799000.0,-13191000.0,7297000.0,-1773000.0
Pretax Income,-259950000.0,16182000.0,-275134000.0,-482447000.0
Other Income Expense,-37750000.0,132632000.0,-26535000.0,19783000.0
Other Non Operating Income Expenses,-37750000.0,132632000.0,-26535000.0,19783000.0
Net Non Operating Interest Income Expense,-4644000.0,-11027000.0,-50018000.0,-17417000.0
Interest Expense Non Operating,102353000.0,16602000.0,68806000.0,58685000.0
Interest Income Non Operating,97709000.0,5575000.0,18788000.0,41268000.0
Operating Income,-222200000.0,-116450000.0,-248599000.0,-502230000.0
Operating Expense,4722840000.0,3827153000.0,3368463000.0,3064178000.0
Research And Development,2270660000.0,1879220000.0,1721222000.0,1549906000.0
Selling General And Administration,2452180000.0,1947933000.0,1647241000.0,1514272000.0
Selling And Marketing Expense,1848093000.0,1461921000.0,1233173000.0,1146548000.0
General And Administrative Expense,604087000.0,486012000.0,414068000.0,367724000.0
Other Gand A,604087000.0,486012000.0,414068000.0,367724000.0
Gross Profit,4500640000.0,3710703000.0,3119864000.0,2561948000.0
Cost Of Revenue,1715178000.0,1428095000.0,1198132000.0,1065258000.0
Total Revenue,6215818000.0,5138798000.0,4317996000.0,3627206000.0
Operating Revenue,6215818000.0,5138798000.0,4317996000.0,3627206000.0
