,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,19710000.0,31050000.0,6545000.0
Tax Rate For Calcs,0.21,0.27,0.27,0.085
Normalized EBITDA,4907000000.0,4391000000.0,4098000000.0,3898000000.0
Total Unusual Items,75000000.0,73000000.0,115000000.0,77000000.0
Total Unusual Items Excluding Goodwill,75000000.0,73000000.0,115000000.0,77000000.0
Net Income From Continuing Operation Net Minority Interest,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Reconciled Depreciation,2413000000.0,2121000000.0,1948000000.0,1765000000.0
Reconciled Cost Of Revenue,9450000000.0,8173000000.0,6562000000.0,6806000000.0
EBITDA,4907000000.0,4464000000.0,4213000000.0,3975000000.0
EBIT,2494000000.0,2343000000.0,2265000000.0,2210000000.0
Net Interest Income,-925000000.0,-816000000.0,-798000000.0,-736000000.0
Interest Expense,893000000.0,816000000.0,798000000.0,710000000.0
Normalized Income,1736000000.0,1543710000.0,1389050000.0,1301545000.0
Net Income From Continuing And Discontinued Operation,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Total Expenses,12882000000.0,11228000000.0,9410000000.0,9425000000.0
Total Operating Income As Reported,2428000000.0,2203000000.0,2116000000.0,2104000000.0
Diluted Average Shares,547000000.0,540000000.0,528000000.0,520000000.0
Basic Average Shares,547000000.0,539000000.0,527000000.0,519000000.0
Diluted EPS,3.17,2.96,2.79,2.64
Basic EPS,3.18,2.96,2.79,2.64
Diluted NI Availto Com Stockholders,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Net Income Common Stockholders,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Net Income,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Net Income Including Noncontrolling Interests,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Net Income Continuous Operations,1736000000.0,1597000000.0,1473000000.0,1372000000.0
Tax Provision,-135000000.0,-70000000.0,-6000000.0,128000000.0
Pretax Income,1601000000.0,1527000000.0,1467000000.0,1500000000.0
Other Income Expense,98000000.0,140000000.0,149000000.0,132000000.0
Other Non Operating Income Expenses,-13000000.0,5000000.0,-6000000.0,16000000.0
Special Income Charges,75000000.0,73000000.0,115000000.0,77000000.0
Other Special Charges,-75000000.0,-73000000.0,-115000000.0,-77000000.0
Earnings From Equity Interest,111000000.0,62000000.0,40000000.0,39000000.0
Net Non Operating Interest Income Expense,-925000000.0,-816000000.0,-798000000.0,-736000000.0
Total Other Finance Cost,32000000.0,29000000.0,,26000000.0
Interest Expense Non Operating,893000000.0,816000000.0,798000000.0,710000000.0
Operating Income,2428000000.0,2203000000.0,2116000000.0,2104000000.0
Operating Expense,3432000000.0,3055000000.0,2848000000.0,2619000000.0
Other Operating Expenses,331000000.0,304000000.0,288000000.0,285000000.0
Other Taxes,688000000.0,630000000.0,612000000.0,569000000.0
Depreciation Amortization Depletion Income Statement,2413000000.0,2121000000.0,1948000000.0,1765000000.0
Depreciation And Amortization In Income Statement,2413000000.0,2121000000.0,1948000000.0,1765000000.0
Gross Profit,5860000000.0,5258000000.0,4964000000.0,4723000000.0
Cost Of Revenue,9450000000.0,8173000000.0,6562000000.0,6806000000.0
Total Revenue,15310000000.0,13431000000.0,11526000000.0,11529000000.0
Operating Revenue,15203000000.0,13337000000.0,11438000000.0,11443000000.0
