,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,-7889910.0,9189810.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.008433,0.040096
Normalized EBITDA,365321000.0,1068018000.0,688705000.0,29145000.0
Total Unusual Items,-37571000.0,43761000.0,,
Total Unusual Items Excluding Goodwill,-37571000.0,43761000.0,,
Net Income From Continuing Operation Net Minority Interest,103711000.0,1375639000.0,672316000.0,25305000.0
Reconciled Depreciation,82321000.0,48188000.0,28857000.0,16449000.0
Reconciled Cost Of Revenue,1100451000.0,1054554000.0,821989000.0,115396000.0
EBITDA,327750000.0,1111779000.0,688705000.0,29145000.0
EBIT,245429000.0,1063591000.0,659848000.0,12696000.0
Net Interest Income,,,18186000.0,13666000.0
Interest Income,,,18186000.0,13666000.0
Normalized Income,133392090.0,1341067810.0,672316000.0,25305000.0
Net Income From Continuing And Discontinued Operation,103711000.0,1375639000.0,672316000.0,25305000.0
Total Expenses,4147531000.0,3036273000.0,1991520000.0,609962000.0
Total Operating Income As Reported,245429000.0,1063591000.0,659848000.0,12696000.0
Diluted Average Shares,304231350.0,305826505.0,298127669.0,254298014.0
Basic Average Shares,296560501.0,296334894.0,283853654.0,233641336.0
Diluted EPS,0.34,4.5,2.25,0.09
Basic EPS,0.35,4.64,2.37,0.09
Diluted NI Availto Com Stockholders,103704000.0,1375057000.0,671527000.0,21750000.0
Average Dilution Earnings,,,,0.0
Net Income Common Stockholders,103704000.0,1375057000.0,671527000.0,21750000.0
Otherunder Preferred Stock Dividend,7000.0,582000.0,789000.0,3555000.0
Net Income,103711000.0,1375639000.0,672316000.0,25305000.0
Net Income Including Noncontrolling Interests,103711000.0,1375639000.0,672316000.0,25305000.0
Net Income Continuous Operations,103711000.0,1375639000.0,672316000.0,25305000.0
Tax Provision,145565000.0,-274007000.0,5718000.0,1057000.0
Pretax Income,249276000.0,1101632000.0,678034000.0,26362000.0
Other Income Expense,3847000.0,38041000.0,,
Other Non Operating Income Expenses,41418000.0,-5720000.0,,
Gain On Sale Of Security,-37571000.0,43761000.0,,
Net Non Operating Interest Income Expense,,,18186000.0,13666000.0
Total Other Finance Cost,,,,-13666000.0
Interest Income Non Operating,,,18186000.0,13666000.0
Operating Income,245429000.0,1063591000.0,659848000.0,12696000.0
Operating Expense,3047080000.0,1981719000.0,1169531000.0,494566000.0
Research And Development,774059000.0,362990000.0,164080000.0,67079000.0
Selling General And Administration,2273021000.0,1618729000.0,1005451000.0,427487000.0
Selling And Marketing Expense,1696590000.0,1135959000.0,684904000.0,340646000.0
General And Administrative Expense,576431000.0,482770000.0,320547000.0,86841000.0
Other Gand A,576431000.0,482770000.0,320547000.0,86841000.0
Gross Profit,3292509000.0,3045310000.0,1829379000.0,507262000.0
Cost Of Revenue,1100451000.0,1054554000.0,821989000.0,115396000.0
Total Revenue,4392960000.0,4099864000.0,2651368000.0,622658000.0
Operating Revenue,4392960000.0,4099864000.0,2651368000.0,622658000.0
