Date,Close/Last,Open,High,Low
12/08/2023,8887.07,8794.34,8906.64,8790.80
12/07/2023,8847.00,8740.39,8861.90,8719.44
12/06/2023,8686.94,8824.41,8830.03,8679.90
12/05/2023,8749.09,8690.52,8750.91,8665.54
12/04/2023,8767.82,8785.59,8791.24,8637.88
12/01/2023,8878.94,8797.75,8883.24,8759.92
11/30/2023,8850.47,8898.31,8924.81,8765.49
11/29/2023,8874.27,8872.32,8963.51,8863.59
11/28/2023,8739.96,8661.84,8753.15,8661.15
11/27/2023,8677.03,8662.55,8743.48,8642.86
11/24/2023,8692.10,8653.83,8693.02,8643.60
11/22/2023,8672.38,8718.37,8781.11,8662.79
11/21/2023,8671.45,8684.99,8709.26,8631.95
11/20/2023,8758.75,8639.63,8780.86,8639.09
11/17/2023,8619.83,8549.19,8637.61,8549.19
11/16/2023,8579.10,8513.60,8600.95,8510.30
11/15/2023,8575.30,8617.77,8657.75,8543.64
11/14/2023,8562.47,8466.36,8578.61,8460.00
11/13/2023,8289.88,8272.15,8314.17,8232.07
11/10/2023,8323.83,8116.30,8331.58,8104.76
11/09/2023,8065.14,8158.98,8223.92,8055.13
11/08/2023,8121.16,8107.65,8156.40,8070.80
11/07/2023,8103.45,8037.20,8148.67,7999.30
11/06/2023,7946.66,7995.73,8003.12,7873.97
11/03/2023,7976.96,7825.13,8019.49,7820.90
11/02/2023,7838.19,7836.64,7854.23,7759.11
11/01/2023,7715.48,7632.18,7720.82,7584.52
10/31/2023,7610.08,7568.77,7622.30,7484.55
10/30/2023,7548.65,7575.56,7610.17,7494.64
10/27/2023,7579.22,7616.58,7648.57,7553.42
10/26/2023,7528.82,7623.79,7691.19,7485.81
10/25/2023,7599.63,7800.58,7806.54,7582.56
10/24/2023,7884.52,7834.61,7909.24,7793.37
10/23/2023,7784.73,7761.86,7891.30,7689.46
10/20/2023,7801.00,7932.60,7957.73,7782.72
10/19/2023,7946.53,8113.50,8116.67,7923.48
10/18/2023,8048.35,8076.08,8136.33,8025.17
10/17/2023,8167.07,8055.22,8212.71,8035.29
10/16/2023,8179.34,8102.44,8211.49,8099.39
10/13/2023,8074.41,8238.35,8240.45,8043.64
10/12/2023,8223.82,8274.32,8341.24,8162.28
10/11/2023,8259.81,8246.30,8287.68,8187.04
10/10/2023,8216.13,8149.45,8281.49,8139.76
10/09/2023,8126.18,8028.02,8145.24,7998.19
10/06/2023,8093.70,7821.50,8125.11,7798.79
10/05/2023,7873.29,7904.44,7911.05,7784.67
10/04/2023,7907.02,7842.12,7925.36,7799.86
10/03/2023,7800.08,7927.38,8006.20,7760.53
10/02/2023,7997.33,7955.87,8046.14,7925.26
09/29/2023,7939.24,8021.27,8061.96,7923.89
09/28/2023,7901.66,7758.41,7968.27,7737.46
09/27/2023,7812.89,7808.80,7864.43,7714.02
09/26/2023,7753.67,7822.55,7835.23,7723.12
09/25/2023,7877.51,7810.83,7878.52,7786.48
09/22/2023,7855.83,7852.20,7935.81,7832.35
09/21/2023,7794.94,7862.61,7909.25,7793.51
09/20/2023,7955.84,8095.82,8138.35,7954.77
09/19/2023,8077.80,8080.51,8094.07,7999.15
09/18/2023,8126.20,8042.32,8145.80,8041.11
09/15/2023,8087.28,8244.23,8252.24,8054.02
09/14/2023,8304.00,8304.95,8328.37,8216.21
09/13/2023,8243.21,8221.86,8303.30,8211.67
09/12/2023,8221.60,8256.18,8348.69,8221.30
09/11/2023,8339.63,8339.70,8351.70,8244.38
09/08/2023,8264.27,8269.14,8319.58,8240.27
09/07/2023,8280.90,8229.89,8300.63,8181.99
09/06/2023,8376.86,8368.41,8444.32,8307.17
09/05/2023,8402.31,8334.08,8438.37,8313.27
09/01/2023,8373.53,8378.38,8405.90,8317.24
08/31/2023,8323.50,8251.08,8353.82,8250.95
08/30/2023,8231.31,8157.90,8243.09,8125.17
08/29/2023,8163.89,7946.26,8175.43,7940.37
08/28/2023,7951.00,7952.46,7984.08,7901.41
08/25/2023,7896.52,7803.26,7924.49,7729.81
08/24/2023,7796.57,8135.17,8135.50,7792.29
08/23/2023,8020.14,7868.09,8046.33,7866.99
08/22/2023,7874.05,7989.85,7990.00,7854.54
08/21/2023,7915.82,7805.92,7930.86,7804.17
08/18/2023,7732.52,7610.98,7759.06,7601.80
08/17/2023,7705.63,7842.52,7842.72,7695.54
08/16/2023,7795.55,7893.18,7922.70,7793.81
08/15/2023,7905.43,7992.95,8007.42,7889.69
08/14/2023,8034.49,7839.51,8034.96,7834.40
08/11/2023,7886.57,7903.17,7962.95,7866.76
08/10/2023,8004.93,8070.81,8165.58,7953.93
08/09/2023,7974.86,8077.41,8084.76,7943.79
08/08/2023,8075.65,8042.26,8087.61,7970.92
08/07/2023,8226.76,8222.08,8239.71,8147.89
08/04/2023,8171.31,8248.56,8294.22,8135.68
08/03/2023,8263.06,8187.22,8299.00,8173.23
08/02/2023,8256.74,8459.23,8459.23,8204.65
08/01/2023,8597.36,8523.77,8615.05,8496.20
07/31/2023,8587.41,8569.58,8616.69,8542.69
07/28/2023,8522.97,8480.55,8535.54,8443.00
07/27/2023,8351.02,8467.77,8525.18,8311.61
07/26/2023,8271.05,8242.97,8321.89,8204.87
07/25/2023,8323.08,8250.75,8361.55,8250.75
07/24/2023,8200.72,8232.77,8252.83,8150.37
07/21/2023,8212.57,8236.79,8289.49,8188.95
07/20/2023,8155.17,8334.59,8366.42,8134.27
07/19/2023,8441.78,8516.14,8537.66,8413.88
07/18/2023,8474.95,8417.52,8500.02,8359.62
07/17/2023,8442.15,8283.09,8474.65,8265.51
07/14/2023,8286.71,8331.49,8399.22,8262.21
07/13/2023,8326.95,8223.01,8340.91,8215.77
07/12/2023,8142.29,8192.14,8193.89,8081.79
07/11/2023,8075.32,8084.02,8095.71,7981.49
07/10/2023,8054.85,7892.93,8059.78,7892.53
07/07/2023,7884.12,7885.72,7983.69,7872.92
