Symbol,Weight
AAPL,11.315
MSFT,10.282
AMZN,5.625
NVDA,4.339
META,3.834
AVGO,3.091
GOOGL,2.962
GOOG,2.931
TSLA,2.862
ADBE,2.205
COST,2.148
PEP,1.809
AMD,1.652
NFLX,1.595
CSCO,1.564
TMUS,1.459
INTC,1.418
CMCSA,1.374
INTU,1.275
QCOM,1.177
AMGN,1.142
TXN,1.131
HON,1.025
AMAT,0.98
BKNG,0.927
SBUX,0.878
ISRG,0.865
GILD,0.781
MDLZ,0.767
ADP,0.749
LRCX,0.739
ADI,0.731
PANW,0.724
PDD,0.718
VRTX,0.717
REGN,0.711
MU,0.651
SNPS,0.646
MELI,0.627
KLAC,0.579
CDNS,0.56
CSX,0.524
PYPL,0.513
MAR,0.495
ASML,0.479
ABNB,0.476
LULU,0.472
ORLY,0.452
WDAY,0.449
MNST,0.448
CTAS,0.446
NXPI,0.441
CHTR,0.436
CRWD,0.435
PCAR,0.395
ADSK,0.38
MCHP,0.372
MRVL,0.362
DXCM,0.36
CPRT,0.359
ROST,0.357
KDP,0.356
PAYX,0.355
KHC,0.353
IDXX,0.35
SGEN,0.326
AEP,0.325
FTNT,0.325
ODFL,0.32
EXC,0.309
EA,0.295
AZN,0.292
CEG,0.284
FAST,0.282
CTSH,0.282
BIIB,0.275
DDOG,0.27
VRSK,0.268
CSGP,0.267
XEL,0.266
ON,0.261
BKR,0.258
TTD,0.25
GEHC,0.247
MRNA,0.242
TEAM,0.234
ZS,0.23
GFS,0.228
WBD,0.222
DLTR,0.217
FANG,0.211
ANSS,0.198
EBAY,0.174
WBA,0.159
ZM,0.147
ILMN,0.142
SIRI,0.141
ALGN,0.134
ENPH,0.111
JD,0.095
LCID,0.085
